sequence,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFmbBCdB?XeBTgB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jez6IvhFWhBxcB?XeBClB0mBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Jeq/IvhFTbBxcB?XeBFmB0mBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFCdBXeB?8lBzkB1rBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeWAJvhFxcBXeB?zkBFmB0mB6qB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeC9IvhFXeBRlB?1rB8lBzkBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeU8IvhFXeBukB?5lBaqBTrBFsB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8Je5/IvhFCdBXeB?TlB0mBmlBlqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBzfB?SmBUmBFnBGqB,v115@zgA8IeA8EeA8BeB8EeE8FeF8AeF8JeR7IvhFXeBGgB?6mBzkB8qBFsB
TJIZOLS,X,X,X,X,X,O,X,X,X,X
TJIZOSL,X,X,X,X,X,O,X,X,X,X
TJIOLSZ,O,X,O,X,X,O,X,X,X,X
TJIOLZS,O,X,O,X,X,O,X,X,X,X
TJIOSLZ,O,X,O,X,X,O,X,X,X,X
TJIOSZL,O,X,X,X,X,O,O,X,X,X
TJIOZLS,O,X,X,X,X,O,X,X,X,X
TJIOZSL,O,X,X,X,X,O,O,X,X,X
TJLISZO,X,O,O,X,X,O,X,X,X,X
TJLISOZ,O,O,O,X,X,O,X,X,X,X
TJLIZSO,X,O,O,X,X,O,X,X,X,X
TJLIZOS,X,O,O,X,X,O,X,X,X,X
TJLIOSZ,O,O,O,X,X,O,X,X,X,X
TJLIOZS,O,O,O,X,X,O,X,X,X,X
TJLSIZO,X,O,O,X,X,O,X,X,X,X
TJLSIOZ,O,O,O,X,X,O,X,X,X,X
TJLSZIO,X,O,O,O,X,X,X,X,X,X
TJLSZOI,X,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,O,O,X,X,X,X,X,X,X
TJLSOZI,O,O,O,O,X,X,X,X,O,X
TJLZISO,X,O,O,O,X,X,X,X,X,X
TJLZIOS,X,O,O,X,X,X,X,X,X,X
TJLZSIO,X,O,O,O,X,X,X,X,X,X
TJLZSOI,X,O,O,O,X,X,X,X,X,X
TJLZOIS,X,O,O,O,X,X,X,X,X,X
TJLZOSI,X,O,O,O,X,X,X,X,X,X
TJLOISZ,O,O,O,X,X,X,X,X,X,X
TJLOIZS,O,O,O,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,X,X,X,X,X,X
TJLOSZI,O,O,O,O,X,X,X,X,O,X
TJLOZIS,O,O,O,O,X,X,X,X,O,X
TJLOZSI,O,O,O,O,X,X,X,X,O,X
TJSILZO,X,O,O,X,X,O,X,X,X,X
TJSILOZ,O,O,O,X,X,O,X,X,X,X
TJSIZLO,X,X,O,X,X,O,X,X,X,X
TJSIZOL,X,X,X,X,X,O,X,X,X,X
TJSIOLZ,O,X,O,X,X,O,X,X,X,X
TJSIOZL,O,X,X,X,X,O,O,X,X,X
TJSLIZO,X,O,O,X,X,O,X,X,X,X
TJSLIOZ,O,O,O,X,X,O,X,X,X,X
TJSLZIO,X,O,O,O,X,X,X,X,X,X
TJSLZOI,X,O,O,O,X,X,X,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,X,X,X
TJSLOZI,O,O,O,O,X,X,X,X,O,X
TJSZILO,X,X,O,O,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,X,O,O,X,X,X,X,X,X
TJSZLOI,X,X,O,O,X,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X,X,X,X
TJSZOLI,X,X,X,O,X,X,X,X,X,X
TJSOILZ,O,X,O,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,O,X,O,X,X,X
TJSOLIZ,O,X,O,X,X,X,X,X,X,X
TJSOLZI,O,X,O,O,O,X,X,X,O,X
TJSOZIL,O,X,X,O,O,X,X,X,X,X
TJSOZLI,O,X,X,O,O,X,X,X,X,X
TJZILSO,X,X,O,O,X,X,X,X,X,X
TJZILOS,X,X,O,X,X,X,X,X,X,X
TJZISLO,X,X,O,O,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X,X,X
TJZLISO,X,X,O,O,X,X,X,X,X,X
TJZLIOS,X,X,O,X,X,X,X,X,X,X
TJZLSIO,X,X,O,O,X,X,X,X,X,X
TJZLSOI,X,X,O,O,X,X,X,X,X,X
TJZLOIS,X,X,O,O,X,X,X,X,X,X
TJZLOSI,X,X,O,O,X,X,X,X,X,X
TJZSILO,X,X,O,O,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X,X,X
TJZSLIO,X,X,O,O,X,X,X,X,X,X
TJZSLOI,X,X,O,O,X,X,X,X,X,X
TJZSOIL,X,X,X,O,X,X,X,X,X,X
TJZSOLI,X,X,X,O,X,X,X,X,X,X
TJZOILS,X,X,X,O,X,X,X,X,X,X
TJZOISL,X,X,X,O,X,X,X,X,X,X
TJZOLIS,X,X,X,O,X,X,X,X,X,X
TJZOLSI,X,X,X,O,X,X,X,X,X,X
TJZOSIL,X,X,X,O,X,X,X,X,X,X
TJZOSLI,X,X,X,O,X,X,X,X,X,X
TJOILSZ,O,X,O,X,X,X,X,X,X,X
TJOILZS,O,X,O,X,X,X,X,X,X,X
TJOISLZ,O,X,O,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,O,X,O,X,X,X
TJOIZLS,O,X,X,X,O,X,X,X,X,X
TJOIZSL,O,X,X,X,O,X,O,X,X,X
TJOLISZ,O,X,O,X,X,X,X,X,X,X
TJOLIZS,O,X,O,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,X,X,X,X,X
TJOLSZI,O,X,O,O,O,X,X,X,O,X
TJOLZIS,O,X,O,O,O,X,X,X,O,X
TJOLZSI,O,X,O,O,O,X,X,X,O,X
TJOSILZ,O,X,O,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,O,X,O,X,X,X
TJOSLIZ,O,X,O,X,X,X,X,X,X,X
TJOSLZI,O,X,O,O,O,X,X,X,O,X
TJOSZIL,O,X,X,O,O,X,X,X,X,X
TJOSZLI,O,X,X,O,O,X,X,X,X,X
TJOZILS,O,X,X,O,O,X,X,X,X,X
TJOZISL,O,X,X,O,O,X,X,X,X,X
TJOZLIS,O,X,X,O,O,X,X,X,X,X
TJOZLSI,O,X,X,O,O,X,X,X,X,X
TJOZSIL,O,X,X,O,O,X,X,X,X,X
TJOZSLI,O,X,X,O,O,X,X,X,X,X
TSILJZO,X,O,O,X,X,O,X,X,X,X
TSILJOZ,O,O,O,X,X,O,X,X,X,X
TSILZJO,O,O,X,O,X,O,X,X,X,X
TSILZOJ,O,O,X,O,X,O,X,O,X,X
TSILOJZ,O,O,X,X,X,O,X,X,X,X
TSILOZJ,O,O,X,O,X,O,X,X,X,X
TSIJLZO,X,O,O,X,X,O,X,X,X,X
TSIJLOZ,O,O,O,X,X,O,X,X,X,X
TSIJZLO,X,X,O,X,X,O,X,X,X,X
TSIJZOL,X,X,X,X,X,O,X,X,X,X
TSIJOLZ,O,X,O,X,X,O,X,X,X,X
TSIJOZL,O,X,X,X,X,O,O,X,X,X
TSIZLJO,O,O,X,O,X,O,X,X,X,X
TSIZLOJ,O,O,X,O,X,O,X,O,X,X
TSIZJLO,O,O,O,O,X,O,X,X,X,X
TSIZJOL,O,O,X,X,X,O,X,X,X,X
TSIZOLJ,O,O,X,O,X,O,X,O,X,X
TSIZOJL,O,O,X,O,X,O,X,O,X,X
TSIOLJZ,O,O,X,X,X,O,X,X,X,X
TSIOLZJ,O,O,X,O,X,O,X,X,X,X
TSIOJLZ,O,X,O,X,X,O,X,X,X,X
TSIOJZL,O,X,X,X,O,O,O,X,X,X
TSIOZLJ,O,X,X,O,O,O,X,O,X,X
TSIOZJL,O,X,X,O,O,O,O,O,X,X
TSLIJZO,X,O,O,X,X,O,X,X,X,X
TSLIJOZ,O,O,O,X,X,O,X,X,X,X
TSLIZJO,O,O,X,O,X,O,X,X,X,X
TSLIZOJ,O,O,X,O,X,O,X,O,X,X
TSLIOJZ,O,O,X,X,X,O,X,X,X,X
TSLIOZJ,O,O,X,O,X,O,X,X,X,X
TSLJIZO,X,O,O,X,X,O,X,X,X,X
TSLJIOZ,O,O,O,X,X,O,X,X,X,X
TSLJZIO,X,O,O,O,X,X,X,X,X,X
