sequence,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem7IvhFCdBZjBclBT?iBXmBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFyhBzdBclBX?mBmnBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFRdBXhB8mBz?iB2qBisB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFchBZjB6nBX?iBTlBmrB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFamBFiB8nBT?lBfsBmsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem9IvhFRhBfoBTgB0?hByqBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex8IvhFyiB3gBcmBm?nBTlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JefCJvhF6iBZjBUhBT?lBmlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JeR9IvhFFhBTiBeoB0?lBfsBiqB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Je8CJvhF3gBzhBmgBy?sBxqBFsB
ILOTJSZ,X,X,O,O,X,X,X,X,X,X
ILOTJZS,X,X,O,O,X,X,X,X,X,X
ILOTSJZ,X,X,O,O,X,O,X,X,X,X
ILOTSZJ,X,X,O,X,O,X,X,X,X,O
ILOTZJS,X,X,O,O,X,X,X,X,X,X
ILOTZSJ,X,X,O,X,O,X,X,O,X,O
ILOJTSZ,X,X,O,O,X,X,X,X,X,X
ILOJTZS,X,X,O,O,X,X,X,X,X,X
ILOJSTZ,X,X,O,O,X,X,X,X,X,X
ILOJSZT,X,X,O,O,O,X,X,X,X,O
ILOJZTS,X,X,O,O,X,X,X,X,X,X
ILOJZST,X,X,O,O,O,X,X,X,X,O
ILOSTJZ,X,X,O,O,X,X,X,X,X,X
ILOSTZJ,X,X,O,X,O,X,X,X,X,O
ILOSJTZ,X,X,O,O,X,O,X,X,X,X
ILOSJZT,X,X,O,O,O,O,X,X,X,O
ILOSZTJ,X,X,O,X,O,X,X,X,X,O
ILOSZJT,X,X,O,X,O,X,X,X,X,O
ILOZTJS,X,X,O,O,X,X,X,X,X,X
ILOZTSJ,X,X,O,X,O,X,X,O,X,O
ILOZJTS,X,X,O,O,X,X,X,X,X,X
ILOZJST,X,X,O,O,O,X,X,X,X,O
ILOZSTJ,X,X,O,X,O,X,X,O,X,O
ILOZSJT,X,X,O,X,O,X,X,O,X,O
IJTLSZO,X,X,O,O,X,X,X,O,X,X
IJTLSOZ,X,X,O,X,X,X,X,X,X,X
IJTLZSO,X,X,O,O,X,X,X,X,X,X
IJTLZOS,X,X,O,O,X,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,X,X,X,X,X
IJTLOZS,X,X,O,O,X,X,X,X,X,X
IJTSLZO,O,X,O,O,X,X,X,O,X,X
IJTSLOZ,X,X,O,X,X,X,X,X,X,X
IJTSZLO,O,X,O,O,X,X,X,O,X,X
IJTSZOL,O,X,O,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,X,X,X,X,X,X,X
IJTSOZL,O,X,O,X,X,X,X,X,X,X
IJTZLSO,X,O,O,O,X,X,X,X,X,X
IJTZLOS,O,O,O,O,X,X,X,X,X,X
IJTZSLO,O,O,O,O,X,X,X,O,X,X
IJTZSOL,O,O,O,X,X,X,X,X,X,X
IJTZOLS,O,O,O,O,X,X,X,X,X,X
IJTZOSL,O,O,O,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,O,X,X,X,X,X,X
IJTOLZS,O,X,X,O,X,X,X,X,X,X
IJTOSLZ,O,X,X,O,X,X,X,X,X,X
IJTOSZL,O,X,X,O,X,X,X,X,X,X
IJTOZLS,O,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,X,O,X,X,X,O,X,X
IJLTSZO,X,X,O,O,X,X,X,X,X,X
IJLTSOZ,X,X,O,X,X,X,X,X,X,X
IJLTZSO,X,X,O,O,X,X,O,X,X,X
IJLTZOS,X,X,O,O,X,X,X,X,X,X
IJLTOSZ,X,X,O,X,X,X,X,X,X,X
IJLTOZS,X,X,O,O,X,X,X,X,X,X
IJLSTZO,X,X,O,O,X,X,X,X,X,X
IJLSTOZ,X,X,O,X,X,X,X,X,X,X
IJLSZTO,X,X,X,O,X,X,O,X,X,X
IJLSZOT,X,X,X,X,X,X,O,X,X,O
IJLSOTZ,X,X,O,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X,O
IJLZTSO,X,X,O,O,X,X,O,X,X,X
IJLZTOS,O,O,O,O,X,X,X,X,X,X
IJLZSTO,O,X,O,O,X,X,O,X,X,X
IJLZSOT,O,O,O,X,X,X,O,X,X,O
IJLZOTS,X,O,O,O,X,X,X,X,X,X
IJLZOST,X,O,O,X,X,X,O,X,X,O
IJLOTSZ,X,X,O,O,X,X,X,X,X,X
IJLOTZS,X,X,O,O,X,X,X,X,X,X
IJLOSTZ,X,X,O,O,X,X,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,X,X,O
IJLOZTS,X,O,O,O,X,X,X,X,X,X
IJLOZST,X,O,O,O,X,X,O,X,X,O
IJSTLZO,O,X,O,O,X,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X,X,X,X
IJSTZLO,O,X,O,O,X,X,X,X,X,X
IJSTZOL,O,X,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,O,X
IJSTOZL,O,X,O,X,X,X,X,X,O,X
IJSLTZO,X,X,O,O,X,X,X,X,X,X
IJSLTOZ,X,X,O,X,X,X,X,X,X,X
IJSLZTO,O,O,X,O,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X,X,X,O
IJSLOTZ,X,X,O,X,X,X,X,X,X,X
IJSLOZT,X,O,X,X,X,X,X,X,X,O
IJSZTLO,O,O,O,O,X,X,X,X,X,X
IJSZTOL,O,O,O,X,X,X,X,X,O,X
IJSZLTO,O,O,O,O,X,X,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X,X,X,X
IJSZOTL,O,O,O,X,X,X,X,X,O,X
IJSZOLT,O,O,X,X,X,X,X,X,O,X
IJSOTLZ,X,X,X,X,X,X,X,X,O,X
IJSOTZL,X,X,O,X,X,X,X,X,O,X
IJSOLTZ,X,X,X,X,X,X,X,X,O,X
IJSOLZT,X,O,X,X,X,X,X,X,O,O
IJSOZTL,X,O,X,X,X,X,X,X,O,X
IJSOZLT,X,O,X,X,X,X,X,X,O,X
IJZTLSO,X,O,O,O,X,X,O,X,X,X
IJZTLOS,O,O,O,O,X,X,X,X,X,X
IJZTSLO,O,O,O,O,X,X,O,X,X,X
IJZTSOL,O,O,O,X,X,X,X,X,O,X
IJZTOLS,O,O,O,O,X,X,X,X,X,X
IJZTOSL,O,O,O,X,X,X,X,X,X,X
IJZLTSO,X,X,O,O,X,X,O,X,X,X
IJZLTOS,O,O,O,O,X,X,X,X,X,X
IJZLSTO,O,O,O,O,X,X,O,X,X,X
IJZLSOT,O,O,O,X,X,X,O,X,X,X
IJZLOTS,X,O,O,O,X,X,X,X,X,X
IJZLOST,X,O,O,X,X,X,O,X,X,X
IJZSTLO,O,O,O,O,X,X,O,X,X,X
IJZSTOL,O,O,O,X,X,X,O,X,O,X
IJZSLTO,O,O,O,O,X,X,O,X,X,X
IJZSLOT,O,O,O,X,X,X,O,X,X,X
IJZSOTL,O,O,O,X,X,X,X,X,O,X
IJZSOLT,O,O,X,X,X,X,O,X,O,X
IJZOTLS,O,O,O,O,X,X,X,X,X,X
IJZOTSL,O,O,O,X,X,X,X,X,X,X
IJZOLTS,X,O,X,O,X,X,X,X,X,X
IJZOLST,X,O,X,X,X,X,O,X,X,X
IJZOSTL,O,O,O,X,X,X,X,X,X,X
IJZOSLT,O,O,X,X,X,X,O,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X,X,X
IJOTSLZ,X,X,X,O,X,X,X,X,X,X
IJOTSZL,X,X,X,O,X,X,X,X,X,X
IJOTZLS,X,X,X,O,X,X,X,X,X,X
IJOTZSL,X,X,X,O,X,X,X,O,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,X,X
IJOLTZS,X,X,X,O,X,X,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,X,X,X
IJOLSZT,X,X,X,O,O,X,X,X,X,O
IJOLZTS,X,O,X,O,X,X,X,X,X,X
IJOLZST,X,O,X,O,O,X,X,X,X,O
IJOSTLZ,X,X,X,O,X,X,X,X,X,X
IJOSTZL,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,X,O,X,X,X,X,X,X
IJOSLZT,X,O,X,O,X,X,X,X,X,O
IJOSZTL,X,O,X,O,X,X,X,X,X,X
IJOSZLT,X,O,X,O,X,X,X,X,X,X
IJOZTLS,O,O,X,O,X,X,X,X,X,X
IJOZTSL,O,O,X,O,X,X,X,O,X,X
IJOZLTS,X,O,X,O,X,X,X,X,X,X
IJOZLST,X,O,X,O,O,X,X,X,X,X
IJOZSTL,O,O,X,O,X,X,X,X,X,X
IJOZSLT,O,O,X,O,X,X,X,O,X,X
ISTLJZO,O,O,X,O,X,O,X,O,X,X
ISTLJOZ,X,O,X,X,X,O,X,X,X,X
ISTLZJO,O,O,X,X,X,O,X,O,X,X
ISTLZOJ,O,O,X,X,X,X,X,O,X,O
ISTLOJZ,O,X,X,X,X,O,X,X,X,X
ISTLOZJ,O,X,X,X,X,X,X,O,X,O
ISTJLZO,O,O,X,O,X,O,X,O,X,X
ISTJLOZ,X,O,X,X,X,O,X,X,X,X
ISTJZLO,O,O,X,O,X,X,X,O,X,X
ISTJZOL,O,O,X,X,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X,O,X
ISTJOZL,O,O,X,X,X,X,X,X,O,X
ISTZLJO,O,O,X,X,X,X,X,O,X,X
ISTZLOJ,O,O,X,X,X,X,X,O,X,X
ISTZJLO,O,O,X,X,X,X,X,O,X,X
ISTZJOL,O,O,X,X,X,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,O,X,X
ISTZOJL,O,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,O,X,X,X,X,X,X
ISTOLZJ,O,X,X,X,X,X,X,O,X,O
ISTOJLZ,O,X,X,O,X,X,X,X,X,X
ISTOJZL,O,X,X,O,X,X,X,X,X,X
ISTOZLJ,O,X,X,X,X,X,X,O,X,X
ISTOZJL,O,X,X,X,X,X,X,O,X,X
ISLTJZO,O,O,X,O,X,O,X,X,X,X
ISLTJOZ,X,O,X,X,X,O,X,X,X,X
ISLTZJO,O,O,X,X,X,O,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,X,X,O
ISLTOJZ,O,X,X,X,X,O,X,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,X,X,O
ISLJTZO,X,X,X,O,X,O,X,X,X,X
ISLJTOZ,X,X,X,X,X,O,X,X,X,X
ISLJZTO,O,O,X,O,X,O,X,X,X,X
ISLJZOT,O,O,X,X,X,O,X,X,X,O
ISLJOTZ,X,X,X,X,X,O,X,X,X,X
ISLJOZT,X,O,X,X,X,O,X,X,X,O
ISLZTJO,O,O,X,X,X,X,X,X,X,X
ISLZTOJ,O,O,X,X,O,X,X,X,X,O
ISLZJTO,O,O,X,X,X,O,X,X,X,X
ISLZJOT,O,O,X,X,X,O,X,X,X,O
ISLZOTJ,X,O,X,X,X,X,X,X,X,O
ISLZOJT,O,O,X,X,X,X,X,X,X,O
ISLOTJZ,X,X,X,O,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,X,O
ISLOJTZ,X,X,X,O,X,O,X,X,X,X
ISLOJZT,X,X,X,O,X,O,X,X,X,O
ISLOZTJ,X,X,X,X,X,X,X,X,X,O
ISLOZJT,O,X,X,X,X,X,X,X,X,O
ISJTLZO,O,X,X,O,X,O,X,X,X,X
ISJTLOZ,X,X,X,X,X,O,X,X,X,X
ISJTZLO,O,X,X,O,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,X,X,X,X,X,O,X
ISJTOZL,O,X,X,X,X,X,X,X,O,X
ISJLTZO,X,X,X,O,X,O,X,X,X,X
ISJLTOZ,X,X,X,X,X,O,X,X,X,X
ISJLZTO,O,O,X,O,X,O,X,X,X,X
ISJLZOT,O,O,X,X,X,O,X,X,X,O
ISJLOTZ,X,X,X,X,X,O,X,X,X,X
ISJLOZT,X,O,X,X,X,O,X,X,X,O
ISJZTLO,O,O,X,O,X,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X,O,X
ISJZLTO,O,O,X,O,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X,X,X
ISJZOTL,O,O,X,X,X,X,X,X,O,X
ISJZOLT,O,O,X,X,X,X,X,X,O,X
ISJOTLZ,X,X,X,X,X,X,X,X,O,X
ISJOTZL,X,X,X,X,X,X,X,X,O,X
ISJOLTZ,X,X,X,X,X,X,X,X,O,X
ISJOLZT,X,O,X,X,X,X,X,X,O,O
ISJOZTL,X,O,X,X,X,X,X,X,O,X
ISJOZLT,X,O,X,X,X,X,X,X,O,X
ISZTLJO,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,O,O,X,X,O,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,O,X
ISZTOLJ,O,O,X,X,O,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,O,X,X,X,X,O
ISZLJTO,O,O,X,X,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,X,X,X,O
ISZLOTJ,X,O,X,X,X,X,X,X,X,O
ISZLOJT,O,O,X,X,X,X,X,X,X,O
ISZJTLO,O,O,X,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,O,X
ISZJLTO,O,O,X,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X,X
ISZJOTL,O,O,X,X,X,X,X,X,O,X
ISZJOLT,O,O,X,X,X,X,X,X,O,X
ISZOTLJ,O,O,X,X,O,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,O,X,X,X,X,O
ISZOLJT,O,O,X,X,O,X,X,X,X,O
ISZOJTL,O,O,X,X,X,X,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,O
ISOTJLZ,O,X,X,O,X,X,X,X,X,X
ISOTJZL,O,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,O,X,X
ISOTZJL,O,X,X,X,X,X,X,O,X,X
ISOLTJZ,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,X,X,O
ISOLJTZ,X,X,X,O,X,X,X,X,X,X
ISOLJZT,X,X,X,O,O,X,X,X,X,O
ISOLZTJ,X,X,X,X,O,X,X,X,X,O
ISOLZJT,O,X,X,X,O,X,X,X,X,O
ISOJTLZ,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,X,X,X
ISOJLZT,X,X,X,O,X,X,X,X,X,O
ISOJZTL,X,X,X,O,X,X,X,X,X,X
ISOJZLT,X,X,X,O,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,O,X,X,O,X,X
ISOZTJL,O,X,X,X,X,X,X,O,X,X
ISOZLTJ,X,X,X,X,O,X,X,O,X,O
ISOZLJT,O,X,X,X,O,X,X,O,X,O
ISOZJTL,O,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,O,X,X
IZTLJSO,X,O,O,O,X,X,O,X,X,X
IZTLJOS,O,O,O,O,X,X,O,X,X,X
IZTLSJO,X,X,O,X,X,X,O,O,X,X
IZTLSOJ,X,X,O,X,X,X,X,O,X,X
IZTLOJS,O,X,O,X,X,X,X,X,X,X
IZTLOSJ,O,X,O,X,X,X,X,X,X,X
IZTJLSO,X,O,O,O,X,X,O,X,X,X
IZTJLOS,O,O,O,O,X,X,O,X,X,X
IZTJSLO,O,O,O,O,X,X,O,O,X,X
IZTJSOL,O,O,O,X,X,X,O,X,O,X
IZTJOLS,O,O,O,O,X,X,O,X,X,X
IZTJOSL,O,O,O,X,X,X,O,X,X,X
IZTSLJO,O,O,O,X,X,X,O,O,X,X
IZTSLOJ,O,O,O,X,X,X,X,O,X,X
IZTSJLO,O,O,O,X,X,X,O,O,X,X
IZTSJOL,O,O,O,X,X,X,O,X,O,X
IZTSOLJ,O,O,O,X,X,X,X,O,X,X
IZTSOJL,O,O,X,X,X,X,O,X,X,X
IZTOLJS,O,X,O,O,X,X,X,X,X,X
IZTOLSJ,O,X,O,X,X,X,X,O,X,X
IZTOJLS,O,O,O,O,X,X,O,X,X,X
IZTOJSL,O,O,O,O,X,X,O,O,X,X
IZTOSLJ,O,X,O,X,X,X,X,O,X,X
IZTOSJL,O,X,X,X,X,X,O,O,X,X
IZLTJSO,X,O,O,O,X,X,X,X,X,X
IZLTJOS,O,O,O,O,X,X,X,X,X,X
IZLTSJO,X,X,O,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,X,X,X,X,X,O
IZLTOJS,O,X,O,X,X,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X,X,O
IZLJTSO,X,X,O,O,X,X,O,X,X,X
IZLJTOS,O,O,O,O,X,X,X,X,X,X
IZLJSTO,O,O,O,O,X,X,O,X,X,X
IZLJSOT,O,O,O,X,X,X,O,X,X,O
IZLJOTS,X,O,O,O,X,X,X,X,X,X
IZLJOST,X,O,O,X,X,X,O,X,X,O
IZLSTJO,O,O,O,X,X,X,X,X,X,X
IZLSTOJ,O,O,O,X,O,X,X,X,X,O
IZLSJTO,O,O,O,X,X,X,O,X,X,X
IZLSJOT,O,O,O,X,X,X,O,X,X,O
IZLSOTJ,X,O,O,X,X,X,X,X,X,O
IZLSOJT,O,O,O,X,X,X,X,X,X,O
IZLOTJS,X,X,O,O,X,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,X,X,X,O
IZLOJTS,X,X,O,O,X,X,X,X,X,X
IZLOJST,X,X,O,O,X,X,X,X,X,O
IZLOSTJ,X,X,O,X,X,X,X,X,X,O
IZLOSJT,X,X,O,X,X,X,X,X,X,O
IZJTLSO,X,O,O,O,X,X,O,X,X,X
IZJTLOS,O,O,O,O,X,X,X,X,X,X
IZJTSLO,O,O,O,O,X,X,O,X,X,X
IZJTSOL,O,O,O,X,X,X,X,X,O,X
IZJTOLS,O,O,O,O,X,X,X,X,X,X
IZJTOSL,O,O,O,X,X,X,X,X,X,X
IZJLTSO,X,X,O,O,X,X,O,X,X,X
IZJLTOS,O,O,O,O,X,X,X,X,X,X
IZJLSTO,O,O,O,O,X,X,O,X,X,X
IZJLSOT,O,O,O,X,X,X,O,X,X,X
IZJLOTS,X,O,O,O,X,X,X,X,X,X
IZJLOST,X,O,O,X,X,X,O,X,X,X
IZJSTLO,O,O,O,O,X,X,O,X,X,X
IZJSTOL,O,O,O,X,X,X,O,X,O,X
IZJSLTO,O,O,O,O,X,X,O,X,X,X
IZJSLOT,O,O,O,X,X,X,O,X,X,X
IZJSOTL,O,O,O,X,X,X,X,X,O,X
IZJSOLT,O,O,X,X,X,X,O,X,O,X
IZJOTLS,O,O,O,O,X,X,X,X,X,X
IZJOTSL,O,O,O,X,X,X,X,X,X,X
IZJOLTS,X,O,X,O,X,X,X,X,X,X
IZJOLST,X,O,X,X,X,X,O,X,X,X
IZJOSTL,O,O,O,X,X,X,X,X,X,X
IZJOSLT,O,O,X,X,X,X,O,X,X,X
IZSTLJO,O,O,O,X,X,X,O,X,X,X
IZSTLOJ,O,O,O,X,O,X,X,X,X,X
IZSTJLO,O,O,O,X,X,X,O,X,X,X
IZSTJOL,O,O,O,X,X,X,O,X,O,X
IZSTOLJ,O,O,O,X,O,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,O,X,X,X
IZSLTJO,O,O,O,X,X,X,X,X,X,X
IZSLTOJ,O,O,O,X,O,X,X,X,X,O
IZSLJTO,O,O,O,X,X,X,O,X,X,X
IZSLJOT,O,O,X,X,X,X,O,X,X,O
IZSLOTJ,X,O,O,X,X,X,X,X,X,O
IZSLOJT,O,O,O,X,X,X,X,X,X,O
IZSJTLO,O,O,O,X,X,X,O,X,X,X
IZSJTOL,O,O,O,X,X,X,O,X,O,X
IZSJLTO,O,O,O,X,X,X,O,X,X,X
IZSJLOT,O,O,X,X,X,X,O,X,X,X
IZSJOTL,O,O,O,X,X,X,X,X,O,X
IZSJOLT,O,O,X,X,X,X,O,X,O,X
IZSOTLJ,O,O,O,X,O,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,O,X,X,X,X,O
IZSOLJT,O,O,X,X,O,X,X,X,X,O
IZSOJTL,O,O,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,O,X,X,X
IZOTLJS,O,X,O,O,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,O,X,X,O,X,X
IZOTJLS,O,O,O,O,X,X,X,X,X,X
IZOTJSL,O,O,O,O,X,X,X,O,X,X
IZOTSLJ,O,X,O,X,X,X,X,O,X,X
IZOTSJL,O,X,X,X,X,X,X,O,X,X
IZOLTJS,X,X,X,O,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,X,X,O,X,O
IZOLJTS,X,X,X,O,X,X,X,X,X,X
IZOLJST,X,X,X,O,O,X,X,X,X,O
IZOLSTJ,X,X,X,X,O,X,X,O,X,O
IZOLSJT,X,X,X,X,O,X,X,O,X,O
IZOJTLS,O,O,O,O,X,X,X,X,X,X
IZOJTSL,O,X,O,O,X,X,X,O,X,X
IZOJLTS,X,O,X,O,X,X,X,X,X,X
IZOJLST,X,O,X,O,O,X,O,X,X,X
IZOJSTL,O,O,O,O,X,X,X,X,X,X
IZOJSLT,O,O,X,O,X,X,O,O,X,X
IZOSTLJ,O,O,O,X,O,X,X,O,X,X
IZOSTJL,O,O,X,X,X,X,X,O,X,X
IZOSLTJ,X,O,X,X,O,X,X,O,X,O
IZOSLJT,O,O,X,X,O,X,X,O,X,O
IZOSJTL,O,O,X,X,X,X,X,X,X,X
IZOSJLT,O,O,X,X,X,X,O,O,X,X
IOTLJSZ,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,X,O,X,O
IOTLZJS,O,X,X,O,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,O,X,X,O,X,O
IOTJLSZ,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,X,X
IOTJZSL,O,X,X,O,X,X,X,O,X,X
IOTSLJZ,O,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,O,X,O
IOTSJLZ,O,X,X,O,X,X,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,X,X,X,O,X,X
IOTSZJL,O,X,X,X,X,X,X,O,X,X
IOTZLJS,O,X,X,O,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,O,X,X
IOTZJLS,O,O,X,O,X,X,X,X,X,X
IOTZJSL,O,O,X,O,X,X,X,O,X,X
IOTZSLJ,O,X,X,X,X,X,X,O,X,X
IOTZSJL,O,X,X,X,X,X,X,O,X,X
IOLTJSZ,X,X,X,O,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,O,X,X,X,X,O
IOLTZJS,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,O,X,X,O,X,O
IOLJTSZ,X,X,X,O,X,X,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X,X,O
IOLJZTS,X,X,X,O,X,X,X,X,X,X
IOLJZST,X,X,X,O,O,X,X,X,X,O
IOLSTJZ,X,X,X,O,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,X,O
IOLSJTZ,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,X,X,O,O,X,X,X,X,O
IOLSZTJ,X,X,X,X,O,X,X,X,X,O
IOLSZJT,X,X,X,X,O,X,X,X,X,O
IOLZTJS,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,O,X,X,O,X,O
IOLZJTS,X,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,X,O,O,X,X,X,X,O
IOLZSTJ,X,X,X,X,O,X,X,O,X,O
IOLZSJT,X,X,X,X,O,X,X,O,X,O
IOJTLSZ,X,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X
IOJTZLS,X,X,X,O,X,X,X,X,X,X
IOJTZSL,X,X,X,O,X,X,X,O,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X,X,O
IOJLZTS,X,X,X,O,X,X,X,X,X,X
IOJLZST,X,X,X,O,O,X,X,X,X,O
IOJSTLZ,X,X,X,O,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,X,X,X,X,X
IOJSLZT,X,X,X,O,X,X,X,X,X,O
IOJSZTL,X,X,X,O,X,X,X,X,X,X
IOJSZLT,X,X,X,O,X,X,X,X,X,X
IOJZTLS,O,X,X,O,X,X,X,X,X,X
IOJZTSL,O,X,X,O,X,X,X,O,X,X
IOJZLTS,X,X,X,O,X,X,X,X,X,X
IOJZLST,X,X,X,O,O,X,X,X,X,X
IOJZSTL,O,X,X,O,X,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X,X,O,X,X
IOSTLJZ,O,X,X,O,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X,X,O
IOSTJLZ,O,X,X,O,X,X,X,X,X,X
IOSTJZL,O,X,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,X,X,O,X,X
IOSTZJL,O,X,X,X,X,X,X,O,X,X
IOSLTJZ,X,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,X,X,O
IOSLJTZ,X,X,X,O,X,X,X,X,X,X
IOSLJZT,X,X,X,O,O,X,X,X,X,O
IOSLZTJ,X,X,X,X,O,X,X,X,X,O
IOSLZJT,O,X,X,X,O,X,X,X,X,O
IOSJTLZ,X,X,X,O,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,X,X,X,X
IOSJLZT,X,X,X,O,X,X,X,X,X,O
IOSJZTL,X,X,X,O,X,X,X,X,X,X
IOSJZLT,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,O,X,X,O,X,X
