sequence,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBXiBl?lBmrBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBCiBl?lBesBXrB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jel7IvhFGdBTeB/mBa?nB0lBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBUhBFiB6?qBXnB2wB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeX8IvhFTeBFiBxlB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8JeG9IvhFTeBZnBllBc?rB6qB/rB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBFhBXiB0?lBOsBSwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFSiBTeBllB3?mBmmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Jex7IvhFTeBOnBllBc?rBCrBXsB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je/BJvhFGeB1lBiiB0?lBzmBRwB,v115@zgB8HeC8GeB8EeF8DeF8DeC8Je07IvhFxcBTeBOnBl?lBXrBqrB
ILJTOZS,X,O,O,O,X,X,X,O,X,X,X
ILJSTZO,X,O,O,X,X,X,X,O,X,O,X
ILJSTOZ,X,O,O,X,O,X,X,O,X,O,X
ILJSZTO,X,O,O,O,X,X,X,X,X,X,X
ILJSZOT,X,O,O,O,X,X,X,X,X,X,X
ILJSOTZ,X,O,O,X,O,X,X,O,X,X,X
ILJSOZT,X,O,O,O,X,X,X,X,X,X,X
ILJZTSO,X,X,X,O,X,X,X,X,X,O,X
ILJZTOS,X,O,O,O,X,X,O,X,X,X,X
ILJZSTO,X,O,O,O,X,X,X,X,X,X,X
ILJZSOT,X,O,O,O,X,X,X,X,X,X,X
ILJZOTS,X,O,O,O,X,X,O,O,X,X,X
ILJZOST,X,O,O,O,X,X,X,X,X,X,X
ILJOTSZ,X,O,O,X,O,X,X,X,X,O,X
ILJOTZS,X,O,O,O,X,X,X,O,X,X,X
ILJOSTZ,X,O,O,X,O,X,X,O,X,X,X
ILJOSZT,X,O,O,O,X,X,X,X,X,X,X
ILJOZTS,X,O,O,O,X,X,O,O,X,X,X
ILJOZST,X,O,O,O,X,X,X,X,X,X,X
ILSTJZO,X,X,O,X,X,X,X,O,X,O,X
ILSTJOZ,X,X,O,X,O,X,X,O,X,O,X
ILSTZJO,X,X,O,X,X,X,X,O,X,O,X
ILSTZOJ,X,X,O,X,O,X,X,O,X,X,X
ILSTOJZ,X,X,O,X,O,X,X,O,X,O,X
ILSTOZJ,X,X,O,X,O,X,O,O,X,X,X
ILSJTZO,X,X,O,X,X,X,X,O,X,O,X
ILSJTOZ,X,X,O,X,O,X,X,O,X,O,X
ILSJZTO,X,X,O,O,X,X,X,X,X,X,X
ILSJZOT,X,X,O,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,O,X,O,X,X,O,X,X,X
ILSJOZT,X,X,O,O,X,X,X,X,X,X,X
ILSZTJO,X,X,O,X,X,X,O,O,X,X,X
ILSZTOJ,X,X,O,O,O,X,O,O,X,X,X
ILSZJTO,X,X,O,O,X,X,X,X,X,X,X
ILSZJOT,X,X,O,O,X,X,X,X,X,X,X
ILSZOTJ,X,O,O,O,O,X,O,O,X,X,X
ILSZOJT,X,O,O,O,X,X,X,X,X,X,X
ILSOTJZ,X,X,O,X,O,X,X,O,X,X,X
ILSOTZJ,X,X,O,X,O,X,O,O,X,X,X
ILSOJTZ,X,X,O,X,O,X,X,O,X,X,X
ILSOJZT,X,X,O,O,X,X,X,X,X,X,X
ILSOZTJ,X,O,O,O,O,X,O,O,X,X,X
ILSOZJT,X,O,O,O,X,X,X,X,X,X,X
ILZTJSO,X,X,X,O,X,O,X,X,X,O,X
ILZTJOS,X,X,O,O,X,O,O,O,X,X,X
ILZTSJO,X,X,O,X,X,O,O,O,X,O,X
ILZTSOJ,X,X,O,O,O,O,O,O,X,X,X
ILZTOJS,X,O,O,O,X,O,O,O,X,X,X
ILZTOSJ,X,O,O,O,O,O,O,O,X,X,X
ILZJTSO,X,X,X,O,X,X,X,X,X,O,X
ILZJTOS,X,X,O,O,X,X,O,X,X,X,X
ILZJSTO,X,X,O,O,X,X,X,X,X,X,X
ILZJSOT,X,X,O,O,X,X,X,X,X,X,X
ILZJOTS,X,O,O,O,X,X,O,O,X,X,X
ILZJOST,X,O,O,O,X,X,X,X,X,X,X
ILZSTJO,X,X,O,X,X,X,O,O,X,X,X
ILZSTOJ,X,X,O,O,O,X,O,O,X,X,X
ILZSJTO,X,X,O,O,X,X,X,X,X,X,X
ILZSJOT,X,X,O,O,X,X,X,X,X,X,X
ILZSOTJ,X,O,O,O,O,X,O,O,X,X,X
ILZSOJT,X,O,O,O,X,X,X,X,X,X,X
ILZOTJS,X,O,O,O,X,O,O,O,X,X,X
ILZOTSJ,X,O,O,O,O,O,O,O,X,X,X
ILZOJTS,X,O,O,O,X,X,O,O,X,X,X
ILZOJST,X,O,O,O,X,X,X,X,X,X,X
ILZOSTJ,X,O,O,O,O,X,O,O,X,X,X
ILZOSJT,X,O,O,O,X,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,O,X,X,X,X,O,X
ILOTJZS,X,O,O,O,X,X,X,O,X,X,X
ILOTSJZ,X,X,O,X,O,X,X,O,X,O,X
ILOTSZJ,X,O,O,X,O,X,X,O,X,X,X
ILOTZJS,X,O,O,O,X,X,O,O,X,X,X
ILOTZSJ,X,O,O,O,O,X,O,O,X,X,X
ILOJTSZ,X,O,O,X,O,X,X,X,X,O,X
ILOJTZS,X,O,O,O,X,X,X,O,X,X,X
ILOJSTZ,X,O,O,X,O,X,X,O,X,X,X
ILOJSZT,X,O,O,O,X,X,X,X,X,X,X
ILOJZTS,X,O,O,O,X,X,O,O,X,X,X
ILOJZST,X,O,O,O,X,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,O,X,X,O,X,X,X
ILOSTZJ,X,X,O,X,O,X,O,O,X,X,X
ILOSJTZ,X,X,O,X,O,X,X,O,X,X,X
ILOSJZT,X,X,O,O,X,X,X,X,X,X,X
ILOSZTJ,X,O,O,O,O,X,O,O,X,X,X
ILOSZJT,X,O,O,O,X,X,X,X,X,X,X
ILOZTJS,X,O,O,O,X,O,O,O,X,X,X
ILOZTSJ,X,O,O,O,O,O,O,O,X,X,X
ILOZJTS,X,O,O,O,X,X,O,O,X,X,X
ILOZJST,X,O,O,O,X,X,X,X,X,X,X
ILOZSTJ,X,O,O,O,O,X,O,O,X,X,X
ILOZSJT,X,O,O,O,X,X,X,X,X,X,X
IJTLSZO,X,O,O,X,X,X,X,X,X,O,X
IJTLSOZ,X,O,O,X,O,X,X,X,X,O,X
IJTLZSO,X,O,X,X,X,X,X,X,X,O,X
IJTLZOS,X,O,X,X,X,X,X,O,X,X,X
IJTLOSZ,X,O,O,X,O,X,X,X,X,O,X
IJTLOZS,X,O,O,X,X,X,X,O,X,X,X
IJTSLZO,O,X,O,X,X,X,X,O,X,O,X
IJTSLOZ,O,X,O,X,X,X,X,O,X,O,X
IJTSZLO,O,X,X,X,X,X,X,O,X,O,X
IJTSZOL,O,X,O,X,X,X,X,O,X,X,X
IJTSOLZ,O,X,O,X,O,X,X,O,X,O,X
IJTSOZL,O,X,O,X,O,X,X,O,X,X,X
IJTZLSO,X,O,X,X,X,X,X,X,X,O,X
IJTZLOS,O,O,O,X,X,X,X,O,X,X,X
IJTZSLO,O,O,O,X,X,X,X,O,X,O,X
IJTZSOL,O,O,O,X,X,X,X,O,X,X,X
IJTZOLS,O,O,O,O,X,X,X,O,X,X,X
IJTZOSL,O,O,O,X,X,X,X,O,X,X,X
IJTOLSZ,X,O,O,X,O,X,X,X,X,O,X
IJTOLZS,X,O,O,X,X,X,X,O,X,X,X
IJTOSLZ,O,X,O,X,O,X,X,O,X,O,X
IJTOSZL,O,X,O,X,O,X,X,O,X,X,X
IJTOZLS,O,O,O,O,X,X,X,O,X,X,X
IJTOZSL,O,O,O,X,X,X,X,O,X,X,X
IJLTSZO,X,O,O,X,X,X,X,X,X,O,X
IJLTSOZ,X,O,O,X,O,X,X,X,X,O,X
IJLTZSO,X,O,X,O,X,X,X,X,X,O,X
IJLTZOS,X,O,X,O,X,X,X,O,X,X,X
IJLTOSZ,X,O,O,X,O,X,X,X,X,O,X
IJLTOZS,X,O,O,O,X,X,X,O,X,X,X
IJLSTZO,X,O,O,X,X,X,X,O,X,O,X
IJLSTOZ,X,O,O,X,O,X,X,O,X,O,X
IJLSZTO,X,O,O,O,X,X,X,X,X,X,X
IJLSZOT,X,O,O,O,X,X,X,X,X,X,X
IJLSOTZ,X,O,O,X,O,X,X,O,X,X,X
IJLSOZT,X,O,O,O,X,X,X,X,X,X,X
IJLZTSO,X,X,X,O,X,X,X,X,X,O,X
IJLZTOS,X,O,O,O,X,X,O,X,X,X,X
IJLZSTO,X,O,O,O,X,X,X,X,X,X,X
IJLZSOT,X,O,O,O,X,X,X,X,X,X,X
IJLZOTS,X,O,O,O,X,X,O,O,X,X,X
IJLZOST,X,O,O,O,X,X,X,X,X,X,X
IJLOTSZ,X,O,O,X,O,X,X,X,X,O,X
IJLOTZS,X,O,O,O,X,X,X,O,X,X,X
IJLOSTZ,X,O,O,X,O,X,X,O,X,X,X
IJLOSZT,X,O,O,O,X,X,X,X,X,X,X
IJLOZTS,X,O,O,O,X,X,O,O,X,X,X
IJLOZST,X,O,O,O,X,X,X,X,X,X,X
IJSTLZO,O,O,O,X,X,X,X,O,X,O,O
IJSTLOZ,O,O,O,X,X,X,X,O,X,O,O
IJSTZLO,O,O,X,X,X,X,X,O,X,O,X
IJSTZOL,O,O,O,X,X,X,X,O,X,X,X
IJSTOLZ,O,O,O,X,O,X,X,O,X,O,O
IJSTOZL,O,O,O,X,O,X,X,O,X,X,X
IJSLTZO,X,O,O,X,X,X,X,O,X,O,X
IJSLTOZ,X,O,O,X,X,X,X,O,X,O,X
IJSLZTO,X,O,O,X,X,X,X,X,X,X,X
IJSLZOT,X,O,O,X,X,X,X,X,X,X,X
IJSLOTZ,X,O,O,X,X,X,X,O,X,X,X
IJSLOZT,X,O,O,X,X,X,X,X,X,X,X
IJSZTLO,X,O,O,X,X,X,X,X,X,X,X
IJSZTOL,X,O,O,X,X,X,X,X,X,X,X
IJSZLTO,X,O,O,X,X,X,X,X,X,X,X
IJSZLOT,X,O,O,X,X,X,X,X,X,X,X
IJSZOTL,X,O,O,X,X,X,X,X,X,X,X
IJSZOLT,X,O,O,X,X,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,O,X,X,O,X,X,O
IJSOTZL,O,O,O,X,O,X,X,O,X,X,X
IJSOLTZ,X,O,O,X,X,X,X,O,X,X,X
IJSOLZT,X,O,O,X,X,X,X,X,X,X,X
IJSOZTL,X,O,O,X,X,X,X,X,X,X,X
IJSOZLT,X,O,O,X,X,X,X,X,X,X,X
IJZTLSO,X,X,X,X,X,O,X,X,O,O,X
IJZTLOS,X,O,O,X,X,O,X,O,O,X,X
IJZTSLO,X,X,O,X,X,O,X,O,X,O,X
IJZTSOL,X,X,O,X,X,O,X,O,X,X,X
IJZTOLS,X,O,O,O,X,O,X,O,O,X,X
IJZTOSL,X,X,O,X,X,O,O,O,X,X,X
IJZLTSO,X,X,X,X,X,X,X,X,X,O,X
IJZLTOS,X,O,O,X,X,X,O,X,X,X,X
IJZLSTO,X,X,O,X,X,X,X,X,X,X,X
IJZLSOT,X,O,O,X,X,X,X,X,X,X,X
IJZLOTS,X,O,O,X,X,X,O,O,X,X,X
IJZLOST,X,O,O,X,X,X,X,X,X,X,X
IJZSTLO,X,X,O,X,X,X,X,X,X,X,X
IJZSTOL,X,X,O,X,X,X,X,X,X,X,X
IJZSLTO,X,X,O,X,X,X,X,X,X,X,X
IJZSLOT,X,O,O,X,X,X,X,X,X,X,X
IJZSOTL,X,X,O,X,X,X,X,X,X,X,X
IJZSOLT,X,O,O,X,X,X,X,X,X,X,X
IJZOTLS,X,O,O,O,X,O,X,O,O,X,X
IJZOTSL,X,X,O,X,X,O,O,O,X,X,X
IJZOLTS,X,O,O,X,X,X,O,O,X,X,X
IJZOLST,X,O,O,X,X,X,X,X,X,X,X
IJZOSTL,X,X,O,X,X,X,X,X,X,X,X
IJZOSLT,X,O,O,X,X,X,X,X,X,X,X
IJOTLSZ,X,O,O,X,O,X,X,X,X,O,X
IJOTLZS,X,O,O,X,X,X,X,O,X,X,X
IJOTSLZ,O,X,O,X,O,X,X,O,X,O,X
IJOTSZL,O,X,O,X,O,X,X,O,X,X,X
IJOTZLS,O,O,O,O,X,X,X,O,X,X,X
IJOTZSL,O,O,O,X,X,X,X,O,X,X,X
IJOLTSZ,X,O,O,X,O,X,X,X,X,O,X
IJOLTZS,X,O,O,O,X,X,X,O,X,X,X
IJOLSTZ,X,O,O,X,O,X,X,O,X,X,X
IJOLSZT,X,O,O,O,X,X,X,X,X,X,X
IJOLZTS,X,O,O,O,X,X,O,O,X,X,X
IJOLZST,X,O,O,O,X,X,X,X,X,X,X
IJOSTLZ,O,O,O,X,O,X,X,O,X,X,O
IJOSTZL,O,O,O,X,O,X,X,O,X,X,X
IJOSLTZ,X,O,O,X,X,X,X,O,X,X,X
IJOSLZT,X,O,O,X,X,X,X,X,X,X,X
IJOSZTL,X,O,O,X,X,X,X,X,X,X,X
IJOSZLT,X,O,O,X,X,X,X,X,X,X,X
IJOZTLS,X,O,O,O,X,O,X,O,O,X,X
IJOZTSL,X,X,O,X,X,O,O,O,X,X,X
IJOZLTS,X,O,O,X,X,X,O,O,X,X,X
IJOZLST,X,O,O,X,X,X,X,X,X,X,X
IJOZSTL,X,X,O,X,X,X,X,X,X,X,X
IJOZSLT,X,O,O,X,X,X,X,X,X,X,X
ISTLJZO,X,X,O,X,X,X,X,O,X,O,X
ISTLJOZ,X,X,O,X,O,X,X,O,X,O,X
ISTLZJO,X,X,O,X,X,X,X,O,X,O,X
ISTLZOJ,O,X,O,X,O,X,X,O,X,X,X
ISTLOJZ,X,X,O,X,O,X,X,O,X,O,X
ISTLOZJ,O,X,O,X,O,X,X,O,X,X,X
ISTJLZO,O,X,O,X,X,X,X,O,X,O,O
ISTJLOZ,O,X,O,X,X,X,X,O,X,O,O
ISTJZLO,O,X,X,X,X,X,X,O,X,O,X
ISTJZOL,O,X,O,X,X,X,X,O,X,X,X
ISTJOLZ,O,X,O,X,O,X,X,O,X,O,O
ISTJOZL,O,X,O,X,O,X,X,O,X,X,X
ISTZLJO,X,X,O,X,X,X,X,O,X,O,X
ISTZLOJ,O,X,O,X,X,X,X,O,X,X,X
ISTZJLO,O,X,O,X,X,X,X,O,X,O,X
ISTZJOL,O,X,O,X,X,X,X,O,X,X,X
ISTZOLJ,O,X,O,X,O,X,X,O,X,X,X
ISTZOJL,O,X,O,X,O,X,X,O,X,X,X
ISTOLJZ,X,X,O,X,O,X,X,O,X,O,X
ISTOLZJ,O,X,O,X,O,X,O,O,X,X,X
ISTOJLZ,O,X,O,X,O,X,X,O,X,O,O
ISTOJZL,O,X,O,X,O,X,X,O,X,X,X
ISTOZLJ,O,X,O,X,O,X,O,O,X,X,X
ISTOZJL,O,X,O,X,O,X,O,O,X,X,X
ISLTJZO,X,X,O,X,X,X,X,O,X,O,X
ISLTJOZ,X,X,O,X,O,X,X,O,X,O,X
ISLTZJO,X,X,O,X,X,X,X,O,X,O,X
ISLTZOJ,X,X,O,X,O,X,X,O,X,X,X
ISLTOJZ,X,X,O,X,O,X,X,O,X,O,X
ISLTOZJ,X,X,O,X,O,X,O,O,X,X,X
ISLJTZO,X,X,O,X,X,X,X,O,X,O,X
ISLJTOZ,X,X,O,X,O,X,X,O,X,O,X
ISLJZTO,X,X,O,O,X,X,X,X,X,X,X
ISLJZOT,X,X,O,O,X,X,X,X,X,X,X
ISLJOTZ,X,X,O,X,O,X,X,O,X,X,X
ISLJOZT,X,X,O,O,X,X,X,X,X,X,X
ISLZTJO,X,X,O,X,X,X,O,O,X,X,X
ISLZTOJ,X,X,O,O,O,X,O,O,X,X,X
ISLZJTO,X,X,O,O,X,X,X,X,X,X,X
ISLZJOT,X,X,O,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,O,O,X,O,O,X,X,X
ISLZOJT,X,X,O,O,X,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,O,X,X,O,X,X,X
ISLOTZJ,X,X,O,X,O,X,O,O,X,X,X
ISLOJTZ,X,X,O,X,O,X,X,O,X,X,X
ISLOJZT,X,X,O,O,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,O,O,X,O,O,X,X,X
ISLOZJT,X,X,O,O,X,X,X,X,X,X,X
ISJTLZO,O,X,O,X,X,X,X,O,X,O,O
ISJTLOZ,O,X,O,X,X,X,X,O,X,O,O
ISJTZLO,O,X,X,X,X,X,X,O,X,O,X
ISJTZOL,O,X,O,X,X,X,X,O,X,X,X
ISJTOLZ,O,X,O,X,O,X,X,O,X,O,O
ISJTOZL,O,X,O,X,O,X,X,O,X,X,X
ISJLTZO,X,X,O,X,X,X,X,O,X,O,X
ISJLTOZ,X,X,O,X,X,X,X,O,X,O,X
ISJLZTO,X,X,O,X,X,X,X,X,X,X,X
ISJLZOT,X,X,O,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,X,X,O,X,X,X
ISJLOZT,X,X,O,X,X,X,X,X,X,X,X
ISJZTLO,X,X,O,X,X,X,X,X,X,X,X
ISJZTOL,X,X,O,X,X,X,X,X,X,X,X
ISJZLTO,X,X,O,X,X,X,X,X,X,X,X
ISJZLOT,X,X,O,X,X,X,X,X,X,X,X
ISJZOTL,X,X,O,X,X,X,X,X,X,X,X
ISJZOLT,X,X,O,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,O,X,O,X,X,O,X,X,O
ISJOTZL,O,X,O,X,O,X,X,O,X,X,X
ISJOLTZ,X,X,O,X,X,X,X,O,X,X,X
ISJOLZT,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X,X,X,X
ISJOZLT,X,X,O,X,X,X,X,X,X,X,X
ISZTLJO,X,X,O,X,X,O,X,O,X,X,X
ISZTLOJ,X,X,O,X,X,O,O,O,X,X,X
ISZTJLO,X,X,O,X,X,O,X,O,X,X,X
ISZTJOL,X,X,O,X,X,O,O,O,X,X,X
ISZTOLJ,X,X,O,X,O,O,O,O,X,X,X
ISZTOJL,X,X,O,X,O,O,O,O,X,X,X
ISZLTJO,X,X,O,X,X,X,X,O,X,X,X
ISZLTOJ,X,X,O,X,X,X,O,O,X,X,X
ISZLJTO,X,X,O,X,X,X,X,X,X,X,X
ISZLJOT,X,X,O,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,X,X,O,O,X,X,X
ISZLOJT,X,X,O,X,X,X,X,X,X,X,X
ISZJTLO,X,X,O,X,X,X,X,X,X,X,X
ISZJTOL,X,X,O,X,X,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,X,X,X,X,X,X
ISZJLOT,X,X,O,X,X,X,X,X,X,X,X
ISZJOTL,X,X,O,X,X,X,X,X,X,X,X
ISZJOLT,X,X,O,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,O,O,O,O,X,X,X
ISZOTJL,X,X,O,X,O,O,O,O,X,X,X
ISZOLTJ,X,X,O,X,X,X,O,O,X,X,X
ISZOLJT,X,X,O,X,X,X,X,X,X,X,X
ISZOJTL,X,X,O,X,X,X,X,X,X,X,X
ISZOJLT,X,X,O,X,X,X,X,X,X,X,X
ISOTLJZ,X,X,O,X,O,X,X,O,X,X,X
ISOTLZJ,O,X,O,X,O,X,O,O,X,X,X
ISOTJLZ,O,X,O,X,O,X,X,O,X,X,O
ISOTJZL,O,X,O,X,O,X,X,O,X,X,X
ISOTZLJ,O,X,O,X,O,X,O,O,X,X,X
ISOTZJL,O,X,O,X,O,X,O,O,X,X,X
ISOLTJZ,X,X,O,X,O,X,X,O,X,X,X
ISOLTZJ,X,X,O,X,O,X,O,O,X,X,X
ISOLJTZ,X,X,O,X,O,X,X,O,X,X,X
ISOLJZT,X,X,O,O,X,X,X,X,X,X,X
ISOLZTJ,X,X,O,O,O,X,O,O,X,X,X
ISOLZJT,X,X,O,O,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,X,O,X,X,O,X,X,O
ISOJTZL,O,X,O,X,O,X,X,O,X,X,X
ISOJLTZ,X,X,O,X,X,X,X,O,X,X,X
ISOJLZT,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,X,X,O,X,X,X,X,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,X,O,O,O,O,X,X,X
ISOZTJL,X,X,O,X,O,O,O,O,X,X,X
ISOZLTJ,X,X,O,X,X,X,O,O,X,X,X
ISOZLJT,X,X,O,X,X,X,X,X,X,X,X
ISOZJTL,X,X,O,X,X,X,X,X,X,X,X
ISOZJLT,X,X,O,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,X,O,X,X,X,O,X
IZTLJOS,X,O,O,X,X,O,O,O,X,X,X
IZTLSJO,X,X,O,X,X,O,X,O,X,O,X
IZTLSOJ,X,O,O,X,O,O,O,O,X,X,X
IZTLOJS,O,O,O,X,X,O,O,O,X,X,X
IZTLOSJ,O,O,O,X,O,O,O,O,X,X,X
IZTJLSO,X,O,X,X,X,O,X,X,O,O,X
IZTJLOS,O,O,O,X,X,O,X,O,O,X,X
IZTJSLO,O,O,O,X,X,O,X,O,X,O,X
IZTJSOL,O,O,O,X,X,O,X,O,X,X,X
IZTJOLS,O,O,O,X,X,O,X,O,O,X,X
IZTJOSL,O,O,O,X,X,O,O,O,X,X,X
IZTSLJO,X,X,O,X,X,O,X,O,X,O,X
IZTSLOJ,O,O,O,X,X,O,O,O,X,X,X
IZTSJLO,O,X,O,X,X,O,X,O,X,O,X
IZTSJOL,O,X,O,X,X,O,O,O,X,X,X
IZTSOLJ,O,O,O,X,O,O,O,O,X,X,X
IZTSOJL,O,O,O,X,O,O,O,O,X,X,X
IZTOLJS,O,O,O,X,X,O,O,O,X,X,X
IZTOLSJ,O,O,O,X,O,O,O,O,X,X,X
IZTOJLS,O,O,O,X,X,O,X,O,O,X,X
IZTOJSL,O,O,O,X,X,O,O,O,X,X,X
IZTOSLJ,O,O,O,X,O,O,O,O,X,X,X
IZTOSJL,O,O,O,X,O,O,O,O,X,X,X
IZLTJSO,X,X,X,O,X,O,X,X,X,O,X
IZLTJOS,X,X,O,O,X,O,O,O,X,X,X
IZLTSJO,X,X,O,X,X,O,O,O,X,O,X
IZLTSOJ,X,X,O,O,O,O,O,O,X,X,X
IZLTOJS,X,O,O,O,X,O,O,O,X,X,X
IZLTOSJ,X,O,O,O,O,O,O,O,X,X,X
IZLJTSO,X,X,X,O,X,X,X,X,X,O,X
IZLJTOS,X,X,O,O,X,X,O,X,X,X,X
IZLJSTO,X,X,O,O,X,X,X,X,X,X,X
IZLJSOT,X,X,O,O,X,X,X,X,X,X,X
IZLJOTS,X,O,O,O,X,X,O,O,X,X,X
IZLJOST,X,O,O,O,X,X,X,X,X,X,X
IZLSTJO,X,X,O,X,X,X,O,O,X,X,X
IZLSTOJ,X,X,O,O,O,X,O,O,X,X,X
IZLSJTO,X,X,O,O,X,X,X,X,X,X,X
IZLSJOT,X,X,O,O,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,O,O,X,O,O,X,X,X
IZLSOJT,X,O,O,O,X,X,X,X,X,X,X
IZLOTJS,O,O,O,O,X,O,O,O,X,X,X
IZLOTSJ,O,O,O,O,O,O,O,O,X,X,X
IZLOJTS,X,O,O,O,X,X,O,O,X,X,X
IZLOJST,X,O,O,O,X,X,X,X,X,X,X
IZLOSTJ,X,O,O,O,O,X,O,O,X,X,X
IZLOSJT,X,O,O,O,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,O,X,X,O,O,X
IZJTLOS,X,O,O,X,X,O,X,O,O,X,X
IZJTSLO,X,X,O,X,X,O,X,O,X,O,X
IZJTSOL,X,X,O,X,X,O,X,O,X,X,X
IZJTOLS,X,O,O,X,X,O,X,O,O,X,X
IZJTOSL,X,X,O,X,X,O,O,O,X,X,X
IZJLTSO,X,X,X,X,X,X,X,X,X,O,X
IZJLTOS,X,O,O,X,X,X,O,X,X,X,X
IZJLSTO,X,X,O,X,X,X,X,X,X,X,X
IZJLSOT,X,O,O,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,X,X,O,O,X,X,X
IZJLOST,X,O,O,X,X,X,X,X,X,X,X
IZJSTLO,X,X,O,X,X,X,X,X,X,X,X
IZJSTOL,X,X,O,X,X,X,X,X,X,X,X
IZJSLTO,X,X,O,X,X,X,X,X,X,X,X
IZJSLOT,X,O,O,X,X,X,X,X,X,X,X
IZJSOTL,X,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,O,O,X,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,X,O,X,O,O,X,X
IZJOTSL,O,O,O,X,X,O,O,O,X,X,X
IZJOLTS,X,O,O,X,X,X,O,O,X,X,X
IZJOLST,X,O,O,X,X,X,X,X,X,X,X
IZJOSTL,X,X,O,X,X,X,X,X,X,X,X
IZJOSLT,X,O,O,X,X,X,X,X,X,X,X
IZSTLJO,X,X,O,X,X,O,X,O,X,X,X
IZSTLOJ,X,X,O,X,X,O,O,O,X,X,X
IZSTJLO,X,X,O,X,X,O,X,O,X,X,X
IZSTJOL,X,X,O,X,X,O,O,O,X,X,X
IZSTOLJ,X,X,O,X,O,O,O,O,X,X,X
IZSTOJL,X,X,O,X,O,O,O,O,X,X,X
IZSLTJO,X,X,O,X,X,X,X,O,X,X,X
IZSLTOJ,X,X,O,X,X,X,O,O,X,X,X
IZSLJTO,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,X,O,O,X,X,X
IZSLOJT,X,O,O,X,X,X,X,X,X,X,X
IZSJTLO,X,X,O,X,X,X,X,X,X,X,X
IZSJTOL,X,X,O,X,X,X,X,X,X,X,X
IZSJLTO,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,X,X,X,X,X
IZSJOLT,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,O,O,O,O,X,X,X
IZSOTJL,O,O,O,X,O,O,O,O,X,X,X
IZSOLTJ,X,O,O,X,X,X,O,O,X,X,X
IZSOLJT,X,O,O,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,X,O,O,O,X,X,X
IZOTLSJ,O,O,O,X,O,O,O,O,X,X,X
IZOTJLS,O,O,O,X,X,O,X,O,O,X,X
IZOTJSL,O,O,O,X,X,O,O,O,X,X,X
IZOTSLJ,O,O,O,X,O,O,O,O,X,X,X
IZOTSJL,O,O,O,X,O,O,O,O,X,X,X
IZOLTJS,O,O,O,O,X,O,O,O,X,X,X
IZOLTSJ,O,O,O,O,O,O,O,O,X,X,X
IZOLJTS,X,O,O,O,X,X,O,O,X,X,X
IZOLJST,X,O,O,O,X,X,X,X,X,X,X
IZOLSTJ,X,O,O,O,O,X,O,O,X,X,X
IZOLSJT,X,O,O,O,X,X,X,X,X,X,X
IZOJTLS,O,O,O,X,X,O,X,O,O,X,X
IZOJTSL,O,O,O,X,X,O,O,O,X,X,X
IZOJLTS,X,O,O,X,X,X,O,O,X,X,X
