sequence,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6hBxdBmiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxcBOjBCiBl?lBTnBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhF6iBOjBzhBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhF6iBOjBzhBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFxdB+mBKnBz?iBllB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jel7IvhF3cBciBOjBx?lBSsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFxdB+mBKnBz?iBllBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jem7IvhF5hBXeB1lBK?nB0iBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFOjBCiBTiBl?lBxrB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex7IvhF6iBOjB3hB0?lBVsBzqB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFOjBCiBTiBl?lBxrBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeX8IvhFZiB+mBziBl?lBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBmlBUnB6?lBlmBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Je07IvhFZiB+mBziBl?lBCoBXrB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeRBJvhFziBllB3mBm?mBCoB0qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8JeT8IvhFxdB2nBllBc?rB3nB6qB,v115@zgB8HeC8FeC8GeD8EeE8BeE8Jex9IvhFziBllB3mBU?nB6qBOrB
JSTOLIZ,O,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
JSTOLZI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSTOZIL,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
JSTOZLI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JSITLZO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
JSITLOZ,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X
JSITZLO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JSITZOL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JSITOLZ,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JSITOZL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JSILTZO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JSILTOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILZTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSILZOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSILOTZ,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
JSILOZT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSIZTLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSIZTOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIZOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
JSIOTZL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JSIOLTZ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOLZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLTZIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTZOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLTOZI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLITOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLIZTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JSLIOZT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLOTZI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLOITZ,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JSLOIZT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
JSZTIOL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JSZTLIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JSZTLOI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JSZTOIL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JSZTOLI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JSZITLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JSZITOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSZIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOTIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOTLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOITL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSZOILT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOLTI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSZOLIT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTILZ,O,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
JSOTIZL,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JSOTLIZ,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSOTLZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTZIL,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JSOTZLI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSOITLZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JSOITZL,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JSOILTZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSOILZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSOIZLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLTIZ,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JSOLTZI,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JSOLITZ,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JSOLIZT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZTLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZITL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JSOZILT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZLTI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOZLIT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZTILSO,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
JZTILOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
JZTISLO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTISOL,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X
JZTIOLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
JZTIOSL,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X
JZTLISO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JZTLIOS,O,O,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X
JZTLSIO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
JZTLSOI,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTLOIS,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JZTLOSI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZTSILO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZTSIOL,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X
JZTSLIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JZTSLOI,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X
JZTSOIL,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X
JZTSOLI,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZTOILS,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X
JZTOISL,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X
JZTOLIS,O,O,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X
JZTOLSI,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X
JZTOSIL,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X
JZTOSLI,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
JZITLSO,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZITLOS,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X
JZITSLO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
JZITSOL,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X
JZITOLS,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X
JZITOSL,X,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X
JZILTSO,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X
JZILTOS,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JZILSTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILSOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILOTS,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILOST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZISTOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZISOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X
JZIOTSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JZIOLTS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOLST,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZIOSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTISO,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
JZLTIOS,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X
JZLTSIO,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JZLTSOI,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZLTOIS,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZLTOSI,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JZLITSO,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLITOS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLISTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZLOTSI,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZLOITS,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZLOIST,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLOSTI,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZLOSIT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JZSTILO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
JZSTIOL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSTLIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
JZSTLOI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSTOIL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSTOLI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
JZSITLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JZSITOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSIOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSOTLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSOITL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZSOILT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSOLTI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZSOLIT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTILS,O,O,X,O,X,O,X,X,X,O,O,X,O,O,X,X,X
JZOTISL,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X
JZOTLIS,O,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X
JZOTLSI,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
JZOTSIL,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X
JZOTSLI,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
JZOITLS,O,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X
JZOITSL,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
JZOILTS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOILST,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOISTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOISLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLTIS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLTSI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLITS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLIST,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLSTI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOLSIT,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOSTIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOSTLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOSITL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JZOSILT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOSLTI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOSLIT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTILSZ,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
JOTILZS,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
JOTISLZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,O,X,X
JOTISZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
JOTIZLS,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
JOTIZSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOTLISZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
JOTLIZS,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X
JOTLSIZ,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
JOTLSZI,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JOTLZIS,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X
JOTLZSI,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
JOTSILZ,O,O,O,X,X,O,X,O,O,O,X,O,X,X,O,X,X
JOTSIZL,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JOTSLIZ,O,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
JOTSLZI,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
JOTSZIL,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
JOTSZLI,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
JOTZILS,O,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X
JOTZISL,O,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOTZLIS,O,O,X,X,X,O,O,O,X,O,X,X,O,O,X,X,X
JOTZLSI,O,O,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X
JOTZSIL,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X
JOTZSLI,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
JOITLSZ,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X
JOITLZS,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,X
JOITSLZ,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JOITSZL,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOITZLS,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X
JOITZSL,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOILTSZ,X,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JOILTZS,O,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X
JOILSTZ,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X
JOILSZT,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOILZTS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
JOILZST,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOISTLZ,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOISTZL,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
JOISLTZ,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JOISLZT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOISZLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZTLS,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X
JOIZTSL,O,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X
JOIZLTS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JOIZLST,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JOIZSTL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOIZSLT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTISZ,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLTIZS,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOLTSIZ,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLTSZI,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLTZIS,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOLTZSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLITSZ,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLITZS,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X
JOLISTZ,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLISZT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JOLIZST,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLSTIZ,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLSTZI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLSITZ,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLSIZT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLZTIS,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JOLZTSI,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JOLZITS,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JOLZIST,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLZSTI,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOLZSIT,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
JOSTILZ,O,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
JOSTIZL,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JOSTLIZ,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JOSTLZI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JOSTZIL,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JOSTZLI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOSITLZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JOSITZL,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
JOSILTZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOSILZT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
JOSIZLT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLTIZ,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSLTZI,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
JOSLITZ,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JOSLIZT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSZTIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSZTLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSZITL,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
