sequence,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhF/gBUcB5jBlkByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhFegBUcB5jBfmBKp?BFqB,v115@4gD8GeC8FeD8FeD8DeG8Jei6IvhF3bB5jBckBOmBTl?B1uB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFfgB5jBFhBcqBml?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jei7IvhF5jBOkBFhBfqB0l?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jel6IvhFUcB5jB/kBTgByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhF5jB2kB3lBFmBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhFlbB5jB2kBXhBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFUcB5jBFgBzlBmp?B3pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBmpB/p?BipB,v115@4gD8GeC8FeD8FeD8DeG8Je5DJvhFTfB/lBFhBmlBip?B0pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBipB/p?BmpB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhF5jBUgBFhBzlBmp?B3pB
ITJOLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
ITJOSLZ,O,X,O,X,X,X,X,X,X,O,X,X,X
ITJOSZL,O,X,O,X,X,X,X,X,X,O,X,X,X
ITJOZLS,O,X,O,O,X,X,X,X,X,X,X,X,X
ITJOZSL,O,X,O,X,X,X,X,X,X,O,X,X,X
ITSLJZO,X,O,X,X,X,X,X,O,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,O,X,X,O,X,X
ITSLZJO,X,O,X,X,O,X,X,O,X,X,X,X,X
ITSLZOJ,X,O,X,X,O,X,X,O,X,X,O,X,X
ITSLOJZ,X,O,X,X,X,X,X,O,X,X,O,X,X
ITSLOZJ,X,O,X,X,X,X,X,O,X,X,O,X,X
ITSJLZO,X,X,O,X,X,X,X,O,X,X,X,X,O
ITSJLOZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ITSJZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSJZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X
ITSJOZL,X,X,O,X,X,X,X,O,X,X,X,X,X
ITSZLJO,X,O,O,X,O,X,X,O,X,X,X,X,X
ITSZLOJ,X,O,O,X,O,X,X,O,X,X,O,X,X
ITSZJLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSZJOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITSZOLJ,X,X,O,O,O,X,X,O,X,X,X,X,X
ITSZOJL,X,X,O,X,O,X,X,O,X,X,X,X,X
ITSOLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
ITSOLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
ITSOJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ITSOJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
ITSOZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
ITSOZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
ITZLJSO,O,X,O,X,O,O,X,X,X,X,X,X,X
ITZLJOS,X,X,O,X,X,O,X,X,X,X,X,X,X
ITZLSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ITZLSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ITZLOJS,X,X,O,O,X,O,X,X,X,X,X,X,X
ITZLOSJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
ITZJLOS,X,X,O,X,X,O,X,X,X,X,X,X,O
ITZJSLO,X,X,O,X,O,O,X,X,X,X,X,X,X
ITZJSOL,X,X,O,X,O,O,X,X,X,X,X,X,X
ITZJOLS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITZJOSL,X,X,O,X,X,X,X,X,X,X,X,X,X
ITZSLJO,X,O,O,X,O,X,X,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,O,X,X,X,X,X,O,X,X
ITZSJLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZSJOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZSOLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZSOJL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITZOLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
ITZOJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITZOJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
ITZOSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ITZOSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X
ITOLJZS,X,X,X,X,X,X,X,O,X,X,X,X,X
ITOLSJZ,X,X,X,O,X,X,X,O,X,X,X,O,X
ITOLSZJ,X,X,O,O,X,X,X,O,X,X,X,O,X
ITOLZJS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
ITOJLSZ,X,X,O,O,X,X,X,O,X,X,X,X,X
ITOJLZS,X,X,O,X,X,X,X,O,X,X,X,X,O
ITOJSLZ,X,X,O,X,X,X,O,O,X,O,X,X,X
ITOJSZL,X,X,O,X,X,X,O,O,X,O,X,X,X
ITOJZLS,X,X,O,O,X,X,X,O,X,X,X,X,X
ITOJZSL,X,X,O,X,X,X,O,O,X,O,X,X,X
ITOSLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
ITOSLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
ITOSJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ITOSJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
ITOSZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
ITOSZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
ITOZLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
ITOZJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
ITOZJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
ITOZSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ITOZSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILTJSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
ILTJZSO,O,O,O,X,O,O,X,O,X,X,X,X,O
ILTJZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
ILTJOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ILTJOZS,O,O,O,X,X,O,X,X,X,X,X,X,O
ILTSJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
ILTSJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILTSZJO,O,O,X,X,O,X,X,O,X,X,X,X,X
ILTSZOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
ILTSOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILTSOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILTZJSO,O,O,O,X,O,O,X,X,X,X,X,X,X
ILTZJOS,X,O,O,X,X,O,X,X,X,X,X,X,X
ILTZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ILTZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ILTZOJS,X,O,O,O,X,O,X,X,X,X,X,X,X
ILTZOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X
ILTOJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
ILTOJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
ILTOSJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
ILTOSZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
ILTOZJS,X,O,O,O,X,O,X,X,X,X,X,X,X
ILTOZSJ,O,O,O,O,O,X,X,X,X,X,X,O,X
ILJTSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJTSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
ILJTZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJTZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJTOSZ,O,O,O,X,X,O,X,X,O,X,X,X,X
ILJTOZS,O,O,O,X,X,O,X,X,O,X,X,X,O
ILJSTZO,O,O,O,X,X,O,X,O,X,X,X,X,O
ILJSTOZ,O,O,X,X,X,O,X,O,X,X,O,X,X
ILJSZTO,O,O,X,X,X,O,X,O,X,X,X,X,O
ILJSZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,O,X,O,O,X,O,X,X
ILJSOZT,O,X,X,X,X,O,X,O,O,X,X,X,X
ILJZTSO,O,X,X,X,X,O,X,O,X,X,X,X,O
ILJZTOS,O,X,X,X,X,O,X,O,X,X,X,X,O
ILJZSTO,O,O,X,X,X,O,X,O,X,X,X,X,O
ILJZSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILJZOTS,X,X,X,X,X,O,X,O,O,X,X,X,O
ILJZOST,O,X,X,X,X,O,X,O,O,X,X,X,X
ILJOTSZ,O,O,O,X,X,O,X,O,O,X,X,X,X
ILJOTZS,O,O,O,X,X,O,X,O,O,X,X,X,O
ILJOSTZ,O,X,O,X,X,O,X,O,O,O,O,O,X
ILJOSZT,O,X,X,X,X,O,X,O,O,O,X,O,X
ILJOZTS,X,X,X,X,X,O,X,O,O,X,X,X,O
ILJOZST,O,X,X,X,X,O,X,O,O,O,X,O,X
ILSTJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILSTZJO,O,O,X,X,X,X,X,O,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILSTOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILSTOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILSJTZO,O,O,X,X,X,O,X,O,X,X,X,X,X
ILSJTOZ,O,O,X,X,X,O,X,O,X,X,O,X,X
ILSJZTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ILSJZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,O,X,O,X,X,O,X,X
ILSJOZT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILSZTJO,O,O,X,X,O,X,X,O,X,X,X,X,X
ILSZTOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
ILSZJTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ILSZJOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILSZOJT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,X,X,O,X,X,O,O,X
ILSOTZJ,O,O,X,X,X,X,X,O,X,X,O,O,X
ILSOJTZ,O,X,X,X,X,O,O,O,X,X,O,O,X
ILSOJZT,O,X,X,X,X,O,O,O,X,X,X,O,X
ILSOZTJ,O,O,X,X,X,X,X,O,X,X,O,O,X
ILSOZJT,O,X,X,X,X,O,X,O,X,X,X,O,X
ILZTJSO,O,O,X,X,O,O,X,X,X,X,X,X,X
ILZTJOS,X,O,X,X,X,O,X,X,X,X,X,X,X
ILZTSJO,O,O,X,X,O,X,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,O,X,X,X,X,X,X,X,X
ILZTOJS,X,O,X,O,X,O,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,O,O,X,X,X,X,X,X,X,X
ILZJTSO,O,X,X,X,X,O,X,O,X,X,X,X,X
ILZJTOS,O,X,X,X,X,O,X,O,X,X,X,X,X
ILZJSTO,O,O,X,X,X,O,X,O,X,X,X,X,X
ILZJSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILZJOTS,X,X,X,X,X,O,X,O,X,X,X,X,X
ILZJOST,O,X,X,X,X,O,X,O,X,X,X,X,X
ILZSTJO,O,O,X,X,O,X,X,O,X,X,X,X,X
ILZSTOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
ILZSJTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ILZSJOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ILZSOJT,O,X,X,X,X,O,X,O,X,X,X,X,X
ILZOTJS,X,O,X,O,X,O,X,X,X,X,X,X,X
ILZOTSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
ILZOJTS,X,X,X,O,X,O,X,O,X,X,X,X,X
ILZOJST,O,X,X,O,X,O,X,O,X,O,X,O,X
ILZOSTJ,O,O,X,O,X,X,X,O,X,X,O,O,X
ILZOSJT,O,X,X,O,X,O,X,O,X,X,X,O,X
ILOTJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
ILOTJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
ILOTSZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
ILOTZJS,X,O,O,O,X,O,X,X,X,X,X,X,X
ILOTZSJ,O,O,O,O,X,X,X,X,X,X,X,O,X
ILOJTSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
ILOJTZS,O,O,X,X,X,O,X,O,X,X,X,X,X
ILOJSTZ,O,X,X,O,X,O,O,O,X,O,O,O,X
ILOJSZT,O,X,X,X,X,O,O,O,X,O,X,O,X
ILOJZTS,X,X,X,O,X,O,X,O,X,X,X,X,X
ILOJZST,O,X,X,O,X,O,O,O,X,O,X,O,X
ILOSTJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
ILOSTZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
ILOSJTZ,O,X,X,O,X,O,O,O,X,X,O,O,X
ILOSJZT,O,X,X,X,X,O,O,O,X,X,X,O,X
ILOSZTJ,O,O,X,O,X,X,X,O,X,X,O,O,X
ILOSZJT,O,X,X,O,X,O,X,O,X,X,X,O,X
ILOZTJS,X,O,X,O,X,O,X,X,X,X,X,X,X
ILOZTSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
ILOZJTS,X,X,X,O,X,O,X,O,X,X,X,X,X
ILOZJST,O,X,X,O,X,O,X,O,X,O,X,O,X
ILOZSTJ,O,O,X,O,X,X,X,O,X,X,O,O,X
ILOZSJT,O,X,X,O,X,O,X,O,X,X,X,O,X
IJTLSZO,O,X,O,X,X,O,X,X,X,X,X,X,O
IJTLSOZ,O,X,X,X,X,O,X,X,X,X,X,X,X
IJTLZSO,O,X,O,X,O,O,X,X,X,X,X,X,O
IJTLZOS,O,X,O,X,X,O,X,X,X,X,X,X,O
IJTLOSZ,O,X,O,X,X,O,X,X,O,X,X,X,X
IJTLOZS,O,X,O,X,X,O,X,X,O,X,X,X,O
IJTSLZO,O,X,O,X,X,O,X,X,X,X,X,X,O
IJTSLOZ,O,X,X,X,X,O,X,X,X,X,O,X,X
IJTSZLO,O,X,O,X,X,O,X,X,X,X,X,X,X
IJTSZOL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJTSOLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
IJTSOZL,O,X,O,X,X,O,X,X,X,X,X,X,X
IJTZLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
IJTZLOS,O,X,O,X,X,O,X,X,X,X,X,X,O
IJTZSLO,O,X,O,X,O,O,X,X,X,X,X,X,X
IJTZSOL,O,X,O,X,O,O,X,X,X,X,X,X,X
IJTZOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
IJTZOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,X,O,O,X,X,X,X,X,X,X,X,X
IJTOLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
IJTOSLZ,O,X,O,X,X,X,X,X,X,O,X,X,X
IJTOSZL,O,X,O,X,X,X,X,X,X,O,X,X,X
IJTOZLS,O,X,O,O,X,X,X,X,X,X,X,X,X
IJTOZSL,O,X,O,X,X,X,X,X,X,O,X,X,X
IJLTSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLTSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
IJLTZSO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLTZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLTOSZ,O,O,O,X,X,O,X,X,O,X,X,X,X
IJLTOZS,O,O,O,X,X,O,X,X,O,X,X,X,O
IJLSTZO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJLSTOZ,O,O,X,X,X,O,X,O,X,X,O,X,X
IJLSZTO,O,O,X,X,X,O,X,O,X,X,X,X,O
IJLSZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJLSOTZ,O,X,O,X,X,O,X,O,O,X,O,X,X
IJLSOZT,O,X,X,X,X,O,X,O,O,X,X,X,X
IJLZTSO,O,X,X,X,X,O,X,O,X,X,X,X,O
IJLZTOS,O,X,X,X,X,O,X,O,X,X,X,X,O
IJLZSTO,O,O,X,X,X,O,X,O,X,X,X,X,O
IJLZSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJLZOTS,X,X,X,X,X,O,X,O,O,X,X,X,O
IJLZOST,O,X,X,X,X,O,X,O,O,X,X,X,X
IJLOTSZ,O,O,O,X,X,O,X,O,O,X,X,X,X
IJLOTZS,O,O,O,X,X,O,X,O,O,X,X,X,O
IJLOSTZ,O,X,O,X,X,O,X,O,O,O,O,O,X
IJLOSZT,O,X,X,X,X,O,X,O,O,O,X,O,X
IJLOZTS,X,X,X,X,X,O,X,O,O,X,X,X,O
IJLOZST,O,X,X,X,X,O,X,O,O,O,X,O,X
IJSTLZO,O,X,O,X,X,O,X,O,X,X,X,X,O
IJSTLOZ,O,X,X,X,X,O,X,O,X,X,O,X,X
IJSTZLO,O,X,O,X,O,O,X,X,X,X,X,X,X
IJSTZOL,O,X,O,X,O,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,O,X,X,O,X,O,X,X,X,X,X
IJSTOZL,O,X,O,X,X,O,X,O,X,X,X,X,X
IJSLTZO,O,O,O,X,X,O,X,O,X,X,X,X,O
IJSLTOZ,O,O,X,X,X,O,X,O,X,X,O,X,X
IJSLZTO,O,O,X,X,O,O,X,O,X,X,X,X,O
IJSLZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IJSLOTZ,O,X,O,X,X,O,X,O,O,X,O,X,X
IJSLOZT,O,X,X,X,X,O,X,O,O,X,X,X,X
IJSZTLO,X,X,O,X,O,O,X,X,X,X,X,X,X
IJSZTOL,X,X,O,X,O,O,X,X,X,X,X,X,X
IJSZLTO,O,O,X,X,O,O,X,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IJSZOTL,X,X,O,X,O,O,X,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJSOTZL,X,X,O,X,X,O,O,O,X,O,X,X,X
IJSOLTZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJSOLZT,X,X,X,X,X,O,O,O,X,O,X,X,X
IJSOZTL,X,X,O,X,O,O,O,O,X,O,X,X,X
IJSOZLT,X,X,X,X,X,O,O,O,X,O,X,X,X
IJZTLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
IJZTLOS,O,X,O,X,X,O,X,X,X,X,X,X,O
IJZTSLO,O,X,O,X,O,O,X,X,X,X,X,X,X
IJZTSOL,O,X,O,X,O,O,X,X,X,X,X,X,X
IJZTOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
IJZTOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
IJZLTSO,O,X,X,X,X,O,X,X,X,X,X,X,O
IJZLTOS,O,X,X,X,X,O,X,X,X,X,X,X,O
IJZLSTO,O,O,X,X,X,O,X,X,X,X,X,X,O
IJZLSOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,O,X,X,O,X,X,X,O
IJZLOST,O,X,X,X,X,O,X,X,O,X,X,X,X
IJZSTLO,X,X,O,X,O,O,X,X,X,X,X,X,X
IJZSTOL,X,X,O,X,O,O,X,X,X,X,X,X,X
IJZSLTO,O,O,X,X,O,O,X,X,X,X,X,X,X
IJZSLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IJZSOTL,X,X,O,X,O,O,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOTLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IJZOTSL,X,X,O,X,X,X,X,X,X,O,X,X,X
IJZOLTS,X,X,X,O,X,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,O,X,O,X,X,X,O,X,O,X
IJZOSTL,X,X,O,X,X,O,X,X,X,O,X,X,X
IJZOSLT,X,X,X,X,X,O,X,X,X,O,X,X,X
IJOTLSZ,O,X,O,O,X,X,X,O,X,X,X,X,X
IJOTLZS,O,X,O,X,X,X,X,O,X,X,X,X,O
IJOTSLZ,O,X,O,X,X,X,O,O,X,O,X,X,X
IJOTSZL,O,X,O,X,X,X,O,O,X,O,X,X,X
IJOTZLS,O,X,O,O,X,X,X,O,X,X,X,X,X
IJOTZSL,O,X,O,X,X,X,O,O,X,O,X,X,X
IJOLTSZ,O,X,O,O,X,O,X,O,O,X,X,X,X
IJOLTZS,O,X,O,X,X,O,X,O,O,X,X,X,O
IJOLSTZ,O,X,O,O,X,O,O,O,O,O,X,O,X
IJOLSZT,O,X,X,X,X,O,O,O,O,O,X,O,X
IJOLZTS,X,X,X,O,X,O,X,O,O,X,X,X,O
IJOLZST,O,X,X,O,X,O,O,O,O,O,X,O,X
IJOSTLZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOSTZL,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOSLTZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOSLZT,X,X,X,X,X,O,O,O,X,O,X,X,X
IJOSZTL,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOSZLT,X,X,X,X,X,O,O,O,X,O,X,X,X
IJOZTLS,X,X,O,O,X,X,X,O,X,X,X,X,X
IJOZTSL,X,X,O,X,X,X,O,O,X,O,X,X,X
IJOZLTS,X,X,X,O,X,O,X,O,O,X,X,X,X
IJOZLST,O,X,X,O,X,O,O,O,O,O,X,O,X
IJOZSTL,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOZSLT,X,X,X,X,X,O,O,O,X,O,X,X,X
ISTLJZO,X,O,X,X,X,X,X,O,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,O,X,X,O,X,X
ISTLZJO,X,O,X,X,O,X,X,O,X,X,X,X,X
ISTLZOJ,X,O,X,X,O,X,X,O,X,X,O,X,X
ISTLOJZ,X,O,X,X,X,X,X,O,X,X,O,X,X
ISTLOZJ,X,O,X,X,X,X,X,O,X,X,O,X,X
ISTJLZO,X,X,O,X,X,X,X,O,X,X,X,X,O
ISTJLOZ,X,X,X,X,X,X,X,O,X,X,O,X,X
ISTJZLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTJZOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTJOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X
ISTJOZL,X,X,O,X,X,X,X,O,X,X,X,X,X
ISTZLJO,X,O,O,X,O,X,X,O,X,X,X,X,X
ISTZLOJ,X,O,O,X,O,X,X,O,X,X,O,X,X
ISTZJLO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTZJOL,X,X,O,X,O,X,X,X,X,X,X,X,X
ISTZOLJ,X,X,O,O,O,X,X,O,X,X,X,X,X
ISTZOJL,X,X,O,X,O,X,X,O,X,X,X,X,X
ISTOLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
ISTOLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
ISTOJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ISTOJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
ISTOZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
ISTOZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
ISLTJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
ISLTZJO,O,O,X,X,X,X,X,O,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ISLTOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
ISLTOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ISLJTZO,O,O,X,X,X,O,X,O,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,O,X,O,X,X,O,X,X
ISLJZTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ISLJZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,O,X,O,X,X,O,X,X
ISLJOZT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISLZTJO,O,O,X,X,O,X,X,O,X,X,X,X,X
ISLZTOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
ISLZJTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ISLZJOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISLZOTJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ISLZOJT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,X,X,O,X,X,O,O,X
ISLOTZJ,O,O,X,X,X,X,X,O,X,X,O,O,X
ISLOJTZ,O,X,X,X,X,O,O,O,X,X,O,O,X
ISLOJZT,O,X,X,X,X,O,O,O,X,X,X,O,X
ISLOZTJ,O,O,X,X,X,X,X,O,X,X,O,O,X
ISLOZJT,O,X,X,X,X,O,X,O,X,X,X,O,X
ISJTLZO,O,X,O,X,X,O,X,O,X,X,X,X,O
ISJTLOZ,O,X,X,X,X,O,X,O,X,X,O,X,X
ISJTZLO,O,X,O,X,O,O,X,X,X,X,X,X,X
ISJTZOL,O,X,O,X,O,O,X,X,X,X,X,X,X
ISJTOLZ,O,X,O,X,X,O,X,O,X,X,X,X,X
ISJTOZL,O,X,O,X,X,O,X,O,X,X,X,X,X
ISJLTZO,O,O,O,X,X,O,X,O,X,X,X,X,O
ISJLTOZ,O,O,X,X,X,O,X,O,X,X,O,X,X
ISJLZTO,O,O,X,X,O,O,X,O,X,X,X,X,O
ISJLZOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISJLOTZ,O,X,O,X,X,O,X,O,O,X,O,X,X
ISJLOZT,O,X,X,X,X,O,X,O,O,X,X,X,X
ISJZTLO,X,X,O,X,O,O,X,X,X,X,X,X,X
ISJZTOL,X,X,O,X,O,O,X,X,X,X,X,X,X
ISJZLTO,O,O,X,X,O,O,X,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISJZOTL,X,X,O,X,O,O,X,X,X,X,X,X,X
ISJZOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,X,X,O,O,O,X,O,X,X,X
ISJOTZL,X,X,O,X,X,O,O,O,X,O,X,X,X
ISJOLTZ,X,X,O,X,X,O,O,O,X,O,X,X,X
ISJOLZT,X,X,X,X,X,O,O,O,X,O,X,X,X
ISJOZTL,X,X,O,X,O,O,O,O,X,O,X,X,X
