sequence,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFFcBxdBfmBG?nBToBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFRcBfjB6jBl?hBmlBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFdBXeBTgBO?mBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcB6jB3gBc?mBmnBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbBRdB+jBU?iBFmB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcBTeB3gBW?oBimBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFXcBxdBSnBT?jBmlBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFFcBxdBzhBS?oBmlB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFeBTgBOmBX?nBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfiB8iB+jBi?gBFmBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfjB6jBTgBO?mBVsBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbB+jBRiB3?iBFmBUsB
ITZOLJS,X,X,X,O,O,X,X,X,X,X,X,X
ITZOLSJ,X,X,X,O,X,X,X,X,X,X,X,X
ITZOJLS,X,X,X,O,O,X,X,X,X,X,X,X
ITZOJSL,X,X,X,O,O,X,X,X,X,X,X,X
ITZOSLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITZOSJL,X,X,X,O,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,X,X,O,X,O,O,X,O
ITOLJZS,X,X,O,X,O,X,O,X,O,O,X,O
ITOLSJZ,X,X,O,X,X,X,O,X,O,O,X,X
ITOLSZJ,X,X,O,X,X,X,X,X,X,X,X,X
ITOLZJS,X,X,X,X,O,X,O,X,O,X,X,X
ITOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,O,X,X,X,O,X,O,O,O,O
ITOJLZS,X,X,O,X,O,X,O,X,O,O,X,O
ITOJSLZ,X,X,O,X,X,X,X,X,O,X,O,O
ITOJSZL,X,X,O,X,X,X,X,X,X,X,O,X
ITOJZLS,X,X,O,X,O,X,X,X,X,O,X,O
ITOJZSL,X,X,O,X,O,X,X,X,X,X,O,X
ITOSLJZ,X,X,X,X,X,X,O,X,X,X,O,X
ITOSLZJ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,X,X,X,X,X,X,O,X
ITOSJZL,X,X,X,X,X,X,X,X,X,X,O,X
ITOSZLJ,X,O,X,X,X,X,X,X,X,X,X,X
ITOSZJL,X,X,X,X,X,X,X,X,X,X,X,X
ITOZLJS,X,X,X,X,O,X,O,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X,X,X,X,X
ITOZJSL,X,X,X,X,O,X,X,X,X,X,X,X
ITOZSLJ,X,O,X,X,X,X,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X,X,X,X,X,X,X
ILTJSZO,X,O,O,O,X,X,O,O,X,O,X,X
ILTJSOZ,X,O,O,X,X,O,O,X,O,O,X,O
ILTJZSO,X,O,O,O,O,X,O,O,X,O,X,X
ILTJZOS,X,X,O,O,O,O,X,O,X,O,X,O
ILTJOSZ,X,X,O,X,X,O,O,X,O,O,X,O
ILTJOZS,X,X,X,O,O,O,O,O,O,O,X,O
ILTSJZO,X,O,O,O,X,X,O,X,X,O,X,X
ILTSJOZ,X,O,O,X,X,X,O,X,O,O,X,X
ILTSZJO,X,O,O,O,X,X,X,X,X,O,X,X
ILTSZOJ,X,O,O,O,X,X,X,X,X,X,X,X
ILTSOJZ,X,X,O,X,X,X,X,X,O,O,X,X
ILTSOZJ,X,O,O,X,X,X,X,X,X,X,X,X
ILTZJSO,X,X,X,O,O,X,O,O,X,O,X,X
ILTZJOS,X,X,X,O,O,X,X,O,X,O,X,X
ILTZSJO,X,O,X,O,X,X,X,X,X,O,X,X
ILTZSOJ,X,O,X,O,X,X,X,X,X,X,X,X
ILTZOJS,X,X,X,O,O,X,X,O,O,X,X,X
ILTZOSJ,X,X,X,O,X,X,X,X,X,X,X,X
ILTOJSZ,X,X,O,X,X,X,O,O,O,O,X,O
ILTOJZS,X,X,O,X,O,X,O,O,O,O,X,O
ILTOSJZ,X,X,O,X,X,X,O,X,O,O,X,X
ILTOSZJ,X,X,O,X,X,X,X,X,X,X,X,X
ILTOZJS,X,X,X,X,O,X,O,O,O,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
ILJTSZO,O,O,O,O,X,O,O,O,X,O,X,X
ILJTSOZ,O,O,O,X,X,O,O,X,O,O,X,O
ILJTZSO,X,O,O,O,O,X,O,O,X,O,X,X
ILJTZOS,X,X,O,O,O,O,X,O,X,O,X,O
ILJTOSZ,X,X,O,X,X,O,O,X,O,O,X,O
ILJTOZS,X,X,O,O,O,O,O,O,O,O,X,O
ILJSTZO,O,O,O,O,X,O,O,O,X,X,X,X
ILJSTOZ,O,O,O,X,X,O,O,X,O,X,X,O
ILJSZTO,O,O,O,O,X,O,O,O,X,O,X,X
ILJSZOT,X,O,O,O,X,O,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,O,O,X,O,X,X,X
ILJSOZT,O,X,O,X,X,O,O,X,O,X,X,X
ILJZTSO,X,O,O,O,O,X,O,O,X,O,X,X
ILJZTOS,X,X,O,O,O,O,X,O,X,O,X,O
ILJZSTO,O,O,O,O,O,O,O,O,X,O,X,X
ILJZSOT,X,O,O,O,X,O,X,X,X,X,X,X
ILJZOTS,X,X,O,O,O,O,X,O,X,O,X,X
ILJZOST,X,X,O,O,X,O,X,O,X,X,X,X
ILJOTSZ,O,X,O,X,X,O,O,O,O,X,X,O
ILJOTZS,X,X,O,O,X,O,O,O,O,X,X,O
ILJOSTZ,O,X,O,X,X,O,O,O,O,X,X,X
ILJOSZT,O,X,O,X,X,O,O,O,O,X,X,X
ILJOZTS,X,X,O,O,X,O,O,O,O,O,X,X
ILJOZST,O,X,O,O,X,O,O,O,O,X,X,X
ILSTJZO,X,O,O,O,X,O,O,X,X,X,X,X
ILSTJOZ,X,O,O,X,X,O,O,X,O,X,O,X
ILSTZJO,O,O,O,O,X,O,X,X,X,X,X,X
ILSTZOJ,O,O,O,O,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,O,X,X,O,X,X,O,X,O,X
ILSTOZJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSJTZO,X,O,O,O,X,O,O,O,X,X,X,X
ILSJTOZ,X,O,O,X,X,O,O,X,O,X,X,X
ILSJZTO,X,O,O,X,X,O,O,O,X,O,X,X
ILSJZOT,X,O,O,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,X,O,X,X,O,O,X,O,X,X,X
ILSJOZT,X,X,O,X,X,O,X,X,O,X,X,X
ILSZTJO,O,O,O,X,X,O,X,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSZJTO,O,O,O,X,X,O,X,O,X,X,X,X
ILSZJOT,O,O,X,X,X,O,X,X,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,X,X,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X,O,X,X,X,X
ILSOTJZ,O,X,O,X,X,O,X,X,O,X,O,X
ILSOTZJ,O,X,O,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,X,X,O,X,O,O,X,X,X
ILSOJZT,O,X,O,X,X,O,X,O,O,X,X,X
ILSOZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILSOZJT,O,X,O,X,X,X,X,O,X,X,X,X
ILZTJSO,X,X,X,O,O,X,O,O,X,X,X,X
ILZTJOS,X,X,X,O,O,X,X,O,X,X,X,X
ILZTSJO,X,O,X,O,X,X,X,X,X,X,X,X
ILZTSOJ,X,O,X,O,X,X,X,X,X,X,X,X
ILZTOJS,X,X,X,O,O,X,X,O,O,X,X,X
ILZTOSJ,X,X,X,O,X,X,X,X,X,X,X,X
ILZJTSO,X,O,O,O,O,X,O,O,X,O,X,X
ILZJTOS,X,X,O,O,O,X,X,O,X,O,X,X
ILZJSTO,X,O,O,O,O,X,O,O,X,O,X,X
ILZJSOT,X,O,O,O,X,X,X,X,X,X,X,X
ILZJOTS,X,X,O,O,O,X,X,O,X,O,X,X
ILZJOST,X,X,O,O,X,X,X,O,X,X,X,X
ILZSTJO,X,O,O,O,X,X,X,X,X,X,X,X
ILZSTOJ,X,O,O,O,X,X,X,X,X,X,X,X
ILZSJTO,X,O,O,O,X,X,X,O,X,X,X,X
ILZSJOT,X,O,X,O,X,X,X,X,X,X,X,X
ILZSOTJ,X,O,O,O,X,X,X,X,X,X,X,X
ILZSOJT,X,O,O,O,X,X,X,O,X,X,X,X
ILZOTJS,X,X,X,O,X,X,X,O,O,X,X,X
ILZOTSJ,X,X,X,O,X,X,X,X,X,X,X,X
ILZOJTS,X,X,O,O,X,X,X,O,O,X,X,X
ILZOJST,X,X,O,O,X,X,X,O,O,X,X,X
ILZOSTJ,X,X,O,O,X,X,X,X,X,X,X,X
ILZOSJT,X,X,O,O,X,X,X,O,X,X,X,X
ILOTJSZ,O,X,O,X,X,X,O,O,O,X,X,X
ILOTJZS,X,X,O,X,X,X,O,O,O,X,X,X
ILOTSJZ,O,X,O,X,X,X,O,X,O,X,X,X
ILOTSZJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOTZJS,X,X,X,X,X,X,O,O,O,X,X,X
ILOTZSJ,X,X,X,X,X,X,X,X,X,X,X,X
ILOJTSZ,O,X,O,X,X,X,O,O,O,X,O,X
ILOJTZS,X,X,O,X,X,X,O,O,O,X,X,X
ILOJSTZ,O,X,O,X,X,X,O,O,O,X,X,X
ILOJSZT,O,X,O,X,X,X,O,O,O,X,X,X
ILOJZTS,X,X,O,X,X,X,O,O,O,O,X,X
ILOJZST,O,X,O,X,X,X,O,O,O,X,X,X
ILOSTJZ,O,X,O,X,X,X,O,X,O,X,O,X
ILOSTZJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,O,O,O,X,X,X
ILOSJZT,O,X,O,X,X,X,O,O,O,X,X,X
ILOSZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSZJT,O,X,O,X,X,X,X,O,X,X,X,X
ILOZTJS,X,X,X,X,X,X,O,O,O,X,X,X
ILOZTSJ,X,X,X,X,X,X,X,X,X,X,X,X
ILOZJTS,X,X,O,X,X,X,O,O,O,X,X,X
ILOZJST,O,X,O,X,X,X,O,O,O,X,X,X
ILOZSTJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOZSJT,O,X,O,X,X,X,X,O,X,X,X,X
IJTLSZO,O,O,O,O,X,O,O,O,X,O,X,X
IJTLSOZ,O,O,O,X,X,O,O,X,X,O,X,O
IJTLZSO,X,O,O,O,O,X,O,O,X,O,X,X
IJTLZOS,X,X,O,O,O,O,X,O,X,O,X,O
IJTLOSZ,X,X,O,X,X,O,O,X,X,O,X,O
IJTLOZS,X,X,O,O,O,O,O,O,X,O,X,O
IJTSLZO,O,O,O,O,X,O,O,X,X,O,X,X
IJTSLOZ,O,O,O,X,X,O,O,X,X,O,O,O
IJTSZLO,O,O,O,O,X,X,X,X,X,O,X,X
IJTSZOL,X,O,X,O,X,O,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,O,O,X,X,X,O,O
IJTSOZL,X,O,X,X,X,O,O,X,X,X,O,X
IJTZLSO,X,O,O,O,O,X,X,O,X,O,X,X
IJTZLOS,X,X,O,O,O,X,X,O,X,O,X,O
IJTZSLO,X,O,O,O,O,X,X,X,X,O,X,X
IJTZSOL,X,O,X,O,O,X,X,X,X,X,X,X
IJTZOLS,X,X,O,O,O,O,X,O,X,O,X,O
IJTZOSL,X,O,O,X,O,O,X,O,X,X,X,X
IJTOLSZ,X,X,O,X,X,O,O,O,X,O,O,O
IJTOLZS,X,X,O,O,O,O,O,O,X,O,X,O
IJTOSLZ,X,O,O,X,X,O,O,X,X,X,O,O
IJTOSZL,X,O,O,X,X,O,O,O,X,X,O,X
IJTOZLS,X,X,O,X,O,O,O,O,X,O,X,O
IJTOZSL,X,O,O,X,O,O,O,O,X,X,O,X
IJLTSZO,O,O,O,O,X,O,O,O,X,O,X,X
IJLTSOZ,O,O,O,X,X,O,O,X,O,O,X,O
IJLTZSO,X,O,O,O,O,X,O,O,X,O,X,X
IJLTZOS,X,X,O,O,O,O,X,O,X,O,X,O
IJLTOSZ,X,X,O,X,X,O,O,X,O,O,X,O
IJLTOZS,X,X,O,O,O,O,O,O,O,O,X,O
IJLSTZO,O,O,O,O,X,O,O,O,X,X,X,X
IJLSTOZ,O,O,O,X,X,O,O,X,O,X,X,O
IJLSZTO,O,O,O,O,X,O,O,O,X,O,X,X
IJLSZOT,X,O,O,O,X,O,X,X,X,X,X,X
IJLSOTZ,O,X,O,X,X,O,O,X,O,X,X,X
IJLSOZT,O,X,O,X,X,O,O,X,O,X,X,X
IJLZTSO,X,O,O,O,O,X,O,O,X,O,X,X
IJLZTOS,X,X,O,O,O,O,X,O,X,O,X,O
IJLZSTO,O,O,O,O,O,O,O,O,X,O,X,X
IJLZSOT,X,O,O,O,X,O,X,X,X,X,X,X
IJLZOTS,X,X,O,O,O,O,X,O,X,O,X,X
IJLZOST,X,X,O,O,X,O,X,O,X,X,X,X
IJLOTSZ,O,X,O,X,X,O,O,O,O,X,X,O
IJLOTZS,X,X,O,O,X,O,O,O,O,X,X,O
IJLOSTZ,O,X,O,X,X,O,O,O,O,X,X,X
IJLOSZT,O,X,O,X,X,O,O,O,O,X,X,X
IJLOZTS,X,X,O,O,X,O,O,O,O,O,X,X
IJLOZST,O,X,O,O,X,O,O,O,O,X,X,X
IJSTLZO,O,O,O,O,X,O,O,X,X,O,X,X
IJSTLOZ,O,O,O,X,X,O,O,X,X,O,X,O
IJSTZLO,O,O,O,O,X,X,X,X,X,O,X,X
IJSTZOL,X,O,X,O,X,O,X,X,X,X,X,X
IJSTOLZ,O,O,X,X,X,O,O,X,X,X,X,O
IJSTOZL,O,O,X,X,X,O,O,X,X,X,X,X
IJSLTZO,O,O,O,O,X,O,O,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,O,O,X,O,X,X,O
IJSLZTO,O,O,O,O,X,O,O,X,X,O,X,X
IJSLZOT,X,O,O,O,X,O,X,X,X,X,X,X
IJSLOTZ,O,X,O,X,X,O,O,X,O,X,X,X
IJSLOZT,O,X,X,X,X,O,O,X,O,X,X,X
IJSZTLO,O,O,O,O,X,X,X,X,X,O,X,X
IJSZTOL,X,O,X,O,X,O,X,X,X,X,X,X
IJSZLTO,O,O,O,O,X,X,X,X,X,O,X,X
IJSZLOT,X,O,O,O,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,O,X,O,X,X,X,X,X,X
IJSZOLT,X,O,X,O,X,X,X,X,X,X,X,X
IJSOTLZ,O,X,X,X,X,O,O,X,O,X,X,X
IJSOTZL,O,X,X,X,X,O,O,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,O,O,X,O,X,X,X
IJSOLZT,O,X,X,X,X,O,O,X,O,X,X,X
IJSOZTL,O,X,X,X,X,O,O,X,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X,O,X,X,X
IJZTLSO,X,O,O,O,O,X,X,O,X,O,X,X
IJZTLOS,X,X,O,O,O,X,X,O,X,O,X,O
IJZTSLO,X,O,O,O,O,X,X,X,X,O,X,X
IJZTSOL,X,O,X,O,O,X,X,X,X,X,X,X
IJZTOLS,X,X,O,O,O,O,X,O,X,O,X,O
IJZTOSL,X,O,O,X,O,O,X,O,X,X,X,X
IJZLTSO,X,O,O,O,O,X,X,O,X,O,X,X
IJZLTOS,X,X,O,O,O,O,X,O,X,O,X,O
IJZLSTO,O,O,O,O,O,O,X,O,X,O,X,X
IJZLSOT,X,O,O,O,X,O,X,X,X,X,X,X
IJZLOTS,X,X,O,O,O,O,X,O,X,O,X,X
IJZLOST,X,O,O,O,X,O,X,O,X,X,X,X
IJZSTLO,O,O,O,O,O,X,X,X,X,O,X,X
IJZSTOL,X,O,X,O,O,O,X,X,X,X,X,X
IJZSLTO,O,O,O,O,O,X,X,X,X,O,X,X
IJZSLOT,X,O,O,O,X,X,X,X,X,X,X,X
IJZSOTL,X,O,X,O,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,O,X,X,X,X,X,X,X,X
IJZOTLS,X,O,O,O,O,O,X,O,X,O,X,X
IJZOTSL,X,O,O,X,O,O,X,O,X,X,X,X
IJZOLTS,X,X,O,O,O,O,X,O,X,O,X,X
IJZOLST,X,O,O,O,X,O,X,O,X,X,X,X
IJZOSTL,X,O,O,O,X,O,X,O,X,X,X,X
IJZOSLT,X,O,O,O,X,X,X,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,O,O,O,O,O,O,O
IJOTLZS,X,O,O,O,X,O,O,O,O,O,X,O
IJOTSLZ,O,O,O,X,X,O,O,X,O,X,O,O
IJOTSZL,O,O,O,X,X,O,O,O,X,X,O,X
IJOTZLS,X,O,O,X,X,O,O,O,X,O,X,O
IJOTZSL,X,O,O,X,X,O,O,O,X,X,O,X
IJOLTSZ,O,X,O,X,X,O,O,O,O,X,O,O
IJOLTZS,X,X,O,O,X,O,O,O,O,X,X,O
IJOLSTZ,O,X,O,X,X,O,O,O,O,X,X,X
IJOLSZT,O,X,O,X,X,O,O,O,O,X,X,X
IJOLZTS,X,X,O,O,X,O,O,O,O,O,X,X
IJOLZST,O,X,O,O,X,O,O,O,O,X,X,X
IJOSTLZ,O,O,O,X,X,O,O,X,O,X,O,X
IJOSTZL,O,O,O,X,X,O,O,O,X,X,O,X
IJOSLTZ,O,O,O,X,X,O,O,X,O,X,X,X
IJOSLZT,O,O,O,X,X,O,O,X,O,X,X,X
IJOSZTL,O,O,O,X,X,O,O,O,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X,X,O,X,X,X
IJOZTLS,X,O,O,O,X,O,O,O,X,O,X,X
IJOZTSL,X,O,O,X,X,O,O,O,X,X,O,X
IJOZLTS,X,X,O,O,X,O,O,O,O,O,X,X
IJOZLST,O,O,O,O,X,O,O,O,O,X,X,X
IJOZSTL,O,O,O,O,X,O,O,O,X,X,X,X
IJOZSLT,O,O,O,O,X,X,X,X,O,X,X,X
ISTLJZO,X,O,X,O,X,O,X,X,X,O,X,X
ISTLJOZ,X,O,X,X,X,O,X,X,X,O,O,X
ISTLZJO,O,O,X,O,X,O,X,X,X,O,X,X
ISTLZOJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,O,X,X,X,O,O,X
ISTLOZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,O,X,O,X,O,X,X,X,O,X,X
ISTJLOZ,X,O,X,X,X,O,X,X,X,O,O,X
ISTJZLO,X,O,X,O,X,X,X,X,X,O,X,X
ISTJZOL,X,O,X,O,X,O,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,O,X,X,X,X,O,X
ISTJOZL,X,O,X,X,X,O,X,X,X,X,O,X
ISTZLJO,O,O,X,O,X,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTZJLO,O,O,X,O,X,X,X,X,X,X,X,X
ISTZJOL,O,X,X,O,X,O,X,X,X,X,X,X
ISTZOLJ,O,O,X,O,X,X,X,X,X,X,X,X
ISTZOJL,O,X,X,O,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,X,X,X,O,X,X,X,X,O,X
ISTOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,X,X,X,O,X,X,X,X,O,X
ISTOJZL,X,X,X,X,X,O,X,X,X,X,O,X
ISTOZLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X,X,X,X,X,X
ISLTJZO,X,O,O,O,X,O,X,X,X,X,X,X
ISLTJOZ,X,O,O,X,X,O,X,X,O,X,O,X
ISLTZJO,O,O,O,O,X,O,X,X,X,X,X,X
ISLTZOJ,O,O,O,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,O,X,X,O,X,X,O,X,O,X
ISLTOZJ,O,O,O,X,X,X,X,X,X,X,X,X
ISLJTZO,X,O,O,O,X,O,X,X,X,X,X,X
ISLJTOZ,X,O,O,X,X,O,X,X,O,X,X,X
ISLJZTO,X,O,O,X,X,O,X,X,X,O,X,X
ISLJZOT,X,O,O,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,X,O,X,X,O,X,X,O,X,X,X
ISLJOZT,X,X,O,X,X,O,X,X,O,X,X,X
ISLZTJO,O,O,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X,X,X,X,X,X
ISLZJTO,O,O,O,X,X,O,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,O,X,X,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,X,X,X,X,X,X
ISLZOJT,O,O,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,O,X,X,O,X,X,O,X,O,X
ISLOTZJ,O,X,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,X,X,O,X,X,O,X,X,X
ISLOJZT,O,X,O,X,X,O,X,X,O,X,X,X
ISLOZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,O,X,X,X,X,X,X,X,X,X
ISJTLZO,X,O,O,O,X,O,X,X,X,O,X,X
ISJTLOZ,X,O,O,X,X,O,X,X,X,O,X,X
ISJTZLO,X,O,O,O,X,X,X,X,X,O,X,X
ISJTZOL,X,O,X,O,X,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,O,X,X,X,X,X,X
ISJTOZL,X,O,X,X,X,O,X,X,X,X,X,X
ISJLTZO,X,O,O,O,X,O,X,X,X,X,X,X
ISJLTOZ,X,O,O,X,X,O,X,X,O,X,X,X
ISJLZTO,X,O,O,X,X,O,X,X,X,O,X,X
ISJLZOT,X,O,O,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,O,X,X,O,X,X,X
ISJLOZT,X,X,X,X,X,O,X,X,O,X,X,X
ISJZTLO,X,O,O,X,X,X,X,X,X,O,X,X
ISJZTOL,X,O,X,X,X,O,X,X,X,X,X,X
ISJZLTO,X,O,O,X,X,X,X,X,X,O,X,X
ISJZLOT,X,O,O,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,O,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,X,O,X,X,O,X,X,X
ISJOTZL,X,X,X,X,X,O,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,O,X,X,O,X,X,X
ISJOLZT,X,X,X,X,X,O,X,X,O,X,X,X
ISJOZTL,X,X,X,X,X,O,X,X,X,X,X,X
ISJOZLT,X,X,X,X,X,X,X,X,O,X,X,X
ISZTLJO,O,O,X,X,X,O,X,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,X,O,X,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,O,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,O,X,X,X,O,X,X,X,X,X,X
ISZLJOT,O,O,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X,X,X,X,X,X
ISZJTOL,O,O,X,X,X,O,X,X,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,O,X,X,X,X,X,X
ISZJOLT,O,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,O,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,O,X,X,X,X,O,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,O,X,X,X,X,O,X
ISOTJZL,X,X,X,X,X,O,X,X,X,X,O,X
ISOTZLJ,O,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,O,X,X,O,X,X,O,X,O,X
ISOLTZJ,O,X,O,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,X,X,O,X,X,O,X,X,X
ISOLJZT,O,X,O,X,X,O,X,X,O,X,X,X
ISOLZTJ,O,X,O,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,X,X,O,X,X,O,X,O,X
ISOJTZL,X,X,O,X,X,O,X,X,X,X,O,X
ISOJLTZ,O,X,O,X,X,O,X,X,O,X,X,X
ISOJLZT,O,X,O,X,X,X,X,X,O,X,X,X
ISOJZTL,O,X,O,X,X,O,X,X,X,X,X,X
ISOJZLT,O,X,O,X,X,X,X,X,O,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,O,O,X,X,X,X,O,X,X
IZTLJOS,X,X,X,O,O,X,X,X,X,O,X,X
IZTLSJO,X,O,X,O,X,X,X,X,X,O,X,X
IZTLSOJ,X,O,X,O,X,X,X,X,X,X,X,X
IZTLOJS,X,X,X,O,O,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,O,O,X,X,X,X,O,X,X
IZTJLOS,X,X,X,O,O,X,X,X,X,O,X,X
IZTJSLO,X,O,X,O,O,X,X,X,X,O,X,X
IZTJSOL,X,X,X,O,O,X,X,X,X,X,X,X
IZTJOLS,X,X,X,O,O,X,X,X,X,O,X,X
IZTJOSL,X,X,X,O,O,X,X,X,X,X,X,X
IZTSLJO,X,O,X,O,X,X,X,X,X,X,X,X
IZTSLOJ,X,O,X,O,X,X,X,X,X,X,X,X
IZTSJLO,X,O,X,O,X,X,X,X,X,X,X,X
IZTSJOL,X,X,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,X,O,X,O,X,X,X,X,X,X,X,X
IZTSOJL,X,X,X,O,X,X,X,X,X,X,X,X
IZTOLJS,X,X,X,O,O,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,O,X,X,X,X,X,X,X,X
IZTOJLS,X,X,X,O,O,X,X,X,X,X,X,X
IZTOJSL,X,X,X,O,O,X,X,X,X,X,X,X
